countries;average_disposable_income
Australia;20.81322093
Austria;22.16244638
Belgium;21.40115256
Canada;25.60624512
Czech Republic;10.84927021
Denmark;23.17589375
Finland;22.02765061
France;18.96038214
Germany;19.89406707
Greece;17.18364717
Hungary;9.463130275
Iceland;22.28685182
Ireland;22.3646892
Italy;17.18076094
Japan;22.47970482
Korea;21.65191791
Luxembourg;34.24182159
Mexico;5.3350735
Netherlands;25.04101231
New Zealand;17.19710764
Norway;28.57437061
Poland;7.939398926
Portugal;13.83946222
Slovak Republic;7.797595504
Spain;16.430249
Sweden;19.91699786
Switzerland;24.65181522
Turkey;5.071859655
United Kingdom;22.69706157
United States;29.196531
OECD - Total;19.18104625
