countries;average_mean_literacy_score
Australia;520
Austria;502
Belgium;510.33
Canada;529.33
Czech Republic;502
Denmark;501
Finland;552.67
France;493
Germany;505
Greece;464
Hungary;492.33
Iceland;493.67
Ireland;508.67
Italy;468.67
Japan;517.33
Korea;541.67
Luxembourg;485
Mexico;408.67
Netherlands;521
New Zealand;524.33
Norway;487
Poland;500.33
Portugal;470.67
Slovak Republic;482
Spain;476.33
Sweden;504
Switzerland;513.67
Turkey;431.67
United Kingdom;501.67
United States;481.5
OECD - Total;496.317
