countries;children_in_poor_homes
Australia;11.79135221
Austria;6.166094377
Belgium;9.97472
Canada;15.05758531
Czech Republic;10.27
Denmark;2.74
Finland;4.17
France;7.64
Germany;16.28927
Greece;13.230296
Hungary;8.724202627
Iceland;8.25
Ireland;16.2994156
Italy;15.5
Japan;13.68803298
Korea;10.74683449
Luxembourg;12.39
Mexico;22.16451356
Netherlands;11.52675463
New Zealand;15
Norway;4.6
Poland;21.5
Portugal;16.55039805
Slovak Republic;10.93
Spain;17.3
Sweden;3.969106338
Switzerland;9.43329321
Turkey;24.59
United Kingdom;10.08
United States;20.59393236
OECD - Total;12.37219339
