countries;mortality_rates
Australia;23.66
Austria;24.57
Belgium;28.97
Canada;23.43
Czech Republic;24.92
Denmark;22.93
Finland;23.54
France;21.04
Germany;21.23
Greece;23.15
Hungary;25.75
Iceland;16.95
Ireland;21.97
Italy;21.76
Japan;18.23
Korea;22.36
Luxembourg;14.84
Mexico;50.23
Netherlands;20.49
New Zealand;32.05
Norway;21.49
Poland;28.13
Portugal;34.6
Slovak Republic;30.15
Spain;23.49
Sweden;19.27
Switzerland;20.33
United Kingdom;21.17
United States;32.67
OECD - Total;23.68
