countries;overcrowding
Australia;19.7
Austria;34.01460053
Belgium;12.61450478
Czech Republic;58.89934714
Denmark;17.55296515
Finland;15.22887563
France;20.28461913
Germany;19.9677627
Greece;54.92205586
Hungary;73.30602107
Iceland;21.65252618
Ireland;16.42902829
Italy;47.85160178
Japan;22.54
Luxembourg;16.89318543
Mexico;69.6
Netherlands;10.32650318
New Zealand;31
Norway;15.1136708
Poland;73.95766735
Portugal;31.95230279
Slovak Republic;68.35628386
Spain;10.83183066
Sweden;20.01146001
United Kingdom;21.49742729
United States;26.2
OECD - Total;31.95016306
