countries;suicide_rates
Australia;8.512646079
Austria;9.482761048
Belgium;8.977713182
Canada;10.04753517
Czech Republic;6.212491765
Denmark;5.942230735
Finland;12.15868685
France;4.906704257
Germany;5.507378351
Greece;1.263026085
Hungary;6.806579778
Iceland;7.841311724
Ireland;9.517062801
Italy;2.437998092
Japan;7.72849265
Korea;6.784772397
Luxembourg;6.357193604
Mexico;5.128753653
Netherlands;3.496134498
New Zealand;15.94956674
Norway;10.09402951
Poland;8.863713432
Portugal;2.430484109
Slovak Republic;5.036519508
Spain;2.599717056
Sweden;6.783234397
Switzerland;7.280508221
United Kingdom;2.987868617
United States;7.696772862
OECD - Total;6.856271971
