countries;Children out of school, primary, male
Abkhazia;
Afghanistan;
Akrotiri and Dhekelia;
Albania;27120
Algeria;24097
American Samoa;
Andorra;484
Angola;136542
Anguilla;
Antigua and Barbuda;423
Argentina;
Armenia;
Aruba;294
Australia;30589
Austria;
Azerbaijan;37768
Bahamas;
Bahrain;
Bangladesh;
Barbados;
Belarus;
Belgium;3878
Belize;
Benin;
Bermuda;
Bhutan;6248
Bolivia;42041
Bosnia and Herzegovina;14534
Botswana;20150
Brazil;
British Virgin Islands;
Brunei;
Bulgaria;1487
Burkina Faso;452425
Burundi;
Cambodia;
Cameroon;
Canada;
Cape Verde;1847
Cayman Islands;
Central African Republic;70918
Chad;
Channel Islands;
Chile;46439
China;
Christmas Island;
Cocos Island;
Colombia;151998
Comoros;
Congo, Dem. Rep.;
Congo, Rep.;
Cook Is;
Costa Rica;
Cote d'Ivoire;496923
Croatia;6748
Cuba;
Cyprus;155
Czech Republic;
Czechoslovakia;
Denmark;10761
Djibouti;27269
Dominica;
Dominican Republic;4471
East Germany;
Ecuador;
Egypt;15184
El Salvador;25644
Equatorial Guinea;21154
Eritrea;188545
Eritrea and Ethiopia;
Estonia;1342
Ethiopia;941396
Faeroe Islands;
Falkland Is (Malvinas);
Fiji;578
Finland;4520
France;
French Guiana;
French Polynesia;
Gabon;
Gambia;38208
Georgia;
Germany;
Ghana;412114
Gibraltar;
Greece;
Greenland;
Grenada;295
Guadeloupe;
Guam;
Guatemala;4558
Guernsey;
Guinea;145456
Guinea-Bissau;
Guyana;12250
Haiti;
Holy See;
Honduras;25214
Hong Kong, China;7343
Hungary;4254
Iceland;104
India;
Indonesia;
Iran;
Iraq;
Ireland;
Isle of Man;
Israel;13123
Italy;5490
Jamaica;28445
Japan;
Jersey;
Jordan;
Kazakhstan;4852
Kenya;523373
Kiribati;
North Korea;
South Korea;487
"United Korea (former)";
Kosovo;
Kuwait;
Kyrgyz Republic;12769
Lao;26413
Latvia;3491
Lebanon;22697
Lesotho;56782
Liberia;173382
Libya;
Liechtenstein;
Lithuania;2382
Luxembourg;
Macao, China;2482
Macedonia, FYR;4567
Madagascar;
Malawi;
Malaysia;
Maldives;573
Mali;375586
Malta;1522
Marshall Islands;
Martinique;
Mauritania;72202
Mauritius;4536
Mayotte;
Mexico;39275
Micronesia, Fed. Sts.;
Moldova;7552
Monaco;
Mongolia;3135
Montenegro;
Montserrat;
Morocco;156957
Mozambique;153614
Myanmar;
Namibia;30758
Nauru;
Nepal;
Netherlands;
Netherlands Antilles;
New Caledonia;
New Zealand;1032
Ngorno-Karabakh;
Nicaragua;
Niger;520594
Nigeria;4884551
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;2619
Oman;684
Pakistan;2209029
Palau;
Panama;5260
Papua New Guinea;
Paraguay;62464
Peru;53966
Philippines;798880
Pitcairn;
Poland;46812
Portugal;2633
Puerto Rico;
Qatar;829
Reunion;
Romania;35033
Russia;127868
Rwanda;
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;305
St. Lucia;798
St. Martin;
St. Vincent and the Grenadines;
St.-Pierre-et-Miquelon;
Samoa;
San Marino;79
Sao Tome and Principe;
Saudi Arabia;154275
Senegal;228833
Serbia;5199
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;
Sierra Leone;
Singapore;
Slovak Republic;
Slovenia;1532
Solomon Islands;
Somalia;
Somaliland;
South Africa;362018
South Ossetia;
Spain;1614
Sri Lanka;55674
Sudan;
Suriname;2889
Svalbard;
Swaziland;18834
Sweden;1103
Switzerland;3515
Syria;2468
Taiwan;
Tajikistan;1891
Tanzania;
Thailand;304452
Timor-Leste;19142
Togo;
Tokelau;
Tonga;
Transnistria;
Trinidad and Tobago;1571
Tunisia;
Turkey;58575
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;
Uganda;232584
Ukraine;82579
United Arab Emirates;
United Kingdom;2558
United States;497780
Uruguay;352
USSR;
Uzbekistan;83627
Wallis et Futuna;
Vanuatu;
Venezuela;102843
West Bank and Gaza;26586
West Germany;
Western Sahara;
Vietnam;
Virgin Islands (U.S.);
North Yemen (former);
South Yemen (former);
Yemen;
Yugoslavia;
Zambia;80137
Zimbabwe;
Åland;
South Sudan;
Christian;
Coastline;
Curaçao;
Sint Maarten (Dutch part);
St. Martin (French part);
Antarctica;
Virgin Islands, British;
Hawaiian Trade Zone;
U.S. Pacific Islands;
Wake Island;
Bonaire;
Sark;
Chinese Taipei;
Saint Eustatius;
Saba;
