countries;Poverty headcount ratio at $2 a day (PPP) (% of population)
Abkhazia;
Afghanistan;
Akrotiri and Dhekelia;
Albania;4.25
Algeria;
American Samoa;
Andorra;
Angola;
Anguilla;
Antigua and Barbuda;
Argentina;3.66
Armenia;12.43
Aruba;
Australia;
Austria;
Azerbaijan;2.81
Bahamas;
Bahrain;
Bangladesh;
Barbados;
Belarus;0.19
Belgium;
Belize;
Benin;
Bermuda;
Bhutan;
Bolivia;24.89
Bosnia and Herzegovina;
Botswana;
Brazil;11.32
British Virgin Islands;
Brunei;
Bulgaria;
Burkina Faso;
Burundi;
Cambodia;53.27
Cameroon;
Canada;
Cape Verde;
Cayman Islands;
Central African Republic;80.09
Chad;
Channel Islands;
Chile;
China;29.79
Christmas Island;
Cocos Island;
Colombia;20.89
Comoros;
Congo, Dem. Rep.;
Congo, Rep.;
Cook Is;
Costa Rica;4.99
Cote d'Ivoire;46.34
Croatia;0.09
Cuba;
Cyprus;
Czech Republic;
Czechoslovakia;
Denmark;
Djibouti;
Dominica;
Dominican Republic;11.08
East Germany;
Ecuador;13.02
Egypt;15.43
El Salvador;14.03
Equatorial Guinea;
Eritrea;
Eritrea and Ethiopia;
Estonia;
Ethiopia;
Faeroe Islands;
Falkland Is (Malvinas);
Fiji;
Finland;
France;
French Guiana;
French Polynesia;
Gabon;
Gambia;
Georgia;32.21
Germany;
Ghana;
Gibraltar;
Greece;
Greenland;
Grenada;
Guadeloupe;
Guam;
Guatemala;
Guernsey;
Guinea;
Guinea-Bissau;
Guyana;
Haiti;
Holy See;
Honduras;32.61
Hong Kong, China;
Hungary;
Iceland;
India;
Indonesia;54.4
Iran;
Iraq;
Ireland;
Isle of Man;
Israel;
Italy;
Jamaica;
Japan;
Jersey;
Jordan;2.11
Kazakhstan;0.89
Kenya;
Kiribati;
North Korea;
South Korea;
"United Korea (former)";
Kosovo;
Kuwait;
Kyrgyz Republic;20.74
Lao;66
Latvia;0.37
Lebanon;
Lesotho;
Liberia;
Libya;
Liechtenstein;
Lithuania;0.44
Luxembourg;
Macao, China;
Macedonia, FYR;4.26
Madagascar;
Malawi;
Malaysia;
Maldives;
Mali;
Malta;
Marshall Islands;
Martinique;
Mauritania;47.69
Mauritius;
Mayotte;
Mexico;5.19
Micronesia, Fed. Sts.;
Moldova;6.91
Monaco;
Mongolia;
Montenegro;0.3
Montserrat;
Morocco;
Mozambique;81.77
Myanmar;
Namibia;
Nauru;
Nepal;
Netherlands;
Netherlands Antilles;
New Caledonia;
New Zealand;
Ngorno-Karabakh;
Nicaragua;
Niger;75.23
Nigeria;
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;
Oman;
Pakistan;60.19
Palau;
Panama;
Papua New Guinea;
Paraguay;13.56
Peru;14.81
Philippines;
Pitcairn;
Poland;0.25
Portugal;
Puerto Rico;
Qatar;
Reunion;
Romania;1.96
Russia;0.08
Rwanda;
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;
St. Lucia;
St. Martin;
St. Vincent and the Grenadines;
St.-Pierre-et-Miquelon;
Samoa;
San Marino;
Sao Tome and Principe;
Saudi Arabia;
Senegal;
Serbia;0.65
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;
Sierra Leone;
Singapore;
Slovak Republic;0.17
Slovenia;
Solomon Islands;
Somalia;
Somaliland;
South Africa;
South Ossetia;
Spain;
Sri Lanka;
Sudan;
Suriname;
Svalbard;
Swaziland;
Sweden;
Switzerland;
Syria;
Taiwan;
Tajikistan;
Tanzania;
Thailand;4.98
Timor-Leste;
Togo;
Tokelau;
Tonga;
Transnistria;
Trinidad and Tobago;
Tunisia;
Turkey;4.16
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;
Uganda;
Ukraine;0.13
United Arab Emirates;
United Kingdom;
United States;
Uruguay;1.91
USSR;
Uzbekistan;
Wallis et Futuna;
Vanuatu;
Venezuela;
West Bank and Gaza;
West Germany;
Western Sahara;
Vietnam;43.36
Virgin Islands (U.S.);
North Yemen (former);
South Yemen (former);
Yemen;
Yugoslavia;
Zambia;
Zimbabwe;
Åland;
South Sudan;
Christian;
Coastline;
Curaçao;
Sint Maarten (Dutch part);
St. Martin (French part);
Antarctica;
Virgin Islands, British;
Hawaiian Trade Zone;
U.S. Pacific Islands;
Wake Island;
