countries;Teen fertility
Abkhazia;
Afghanistan;107.2078
Akrotiri and Dhekelia;
Albania;11.2
Algeria;6.5848
American Samoa;
Andorra;
Angola;157.3042
Anguilla;
Antigua and Barbuda;
Argentina;68.2
Armenia;28.3
Aruba;36.2
Australia;15.5
Austria;9.956
Azerbaijan;32.3586
Bahamas;29.69
Bahrain;14.8616
Bangladesh;72.5164
Barbados;41.515
Belarus;20.7
Belgium;10.28
Belize;73.956
Benin;102.8904
Bermuda;
Bhutan;46.997
Bolivia;76.1156
Bosnia and Herzegovina;14.6266
Botswana;47.1324
Brazil;75.8116
British Virgin Islands;
Brunei;23.6696
Bulgaria;45.384
Burkina Faso;120.3818
Burundi;19.9978
Cambodia;36.4402
Cameroon;120.193
Canada;12.3374
Cape Verde;74.139
Cayman Islands;
Central African Rep.;101.826
Chad;148.7062
Channel Islands;8.991
Chile;56.8916
China;8.829
Christmas Island;
Cocos Island;
Colombia;70.6084
Comoros;53.8752
Congo, Dem. Rep.;182.9196
Congo, Rep.;115.0232
Cook Islands;
Costa Rica;63.4196
Cote d'Ivoire;115.1644
Croatia;13.0594
Cuba;44.4444
Cyprus;5.8932
Czech Rep.;10
Czechoslovakia;
Denmark;5.1
Djibouti;20.8804
Dominica;
Dominican Rep.;105.6506
East Germany;
Ecuador;81.4548
Egypt;43.016
El Salvador;78.7726
Equatorial Guinea;117.9244
Eritrea;58.8466
Eritrea and Ethiopia;
Estonia;18.388
Ethiopia;57.9116
Faeroe Islands;
Falkland Islands (Malvinas);
Fiji;43.7706
Finland;8.4
France;6.4918
French Guiana;
French Polynesia;49.297
Gabon;84.5866
Gambia;70.7508
Georgia;41.564
Germany;8.846
Ghana;65.8672
Gibraltar;
Greece;11.16
Greenland;50.9
Grenada;38.2248
Guadeloupe;
Guam;50.6366
Guatemala;104.3064
Guernsey;
Guinea;143.1538
Guinea-Bissau;102.1458
Guyana;59.683
Haiti;43.3088
Holy See;
Honduras;88.759
Hong Kong, China;3.8106
Hungary;18.4132
Iceland;12.9
India;79.332
Indonesia;43.453
Iran;26.7784
Iraq;90.721
Ireland;15.06
Isle of Man;
Israel;14.027
Italy;6.56
Jamaica;72.7592
Japan;5.6282
Jersey;
Jordan;24.8082
Kazakhstan;27.3034
Kenya;98.9448
Kiribati;
Korea, Dem. Rep.;0.644
Korea, Rep.;4.3866
Korea, United;
Kosovo;
Kuwait;14.159
Kyrgyzstan;33.4348
Laos;33.6144
Latvia;14.8772
Lebanon;15.7292
Lesotho;65.8524
Liberia;130.8402
Libya;2.7964
Liechtenstein;
Lithuania;13.596
Luxembourg;7.5
Macao, China;4.1124
Macedonia, FYR;19.4578
Madagascar;127.3116
Malawi;111.0492
Malaysia;11.5756
Maldives;10.9674
Mali;175.8652
Malta;18.86
Marshall Islands;
Martinique;
Mauritania;74.5014
Mauritius;33.2728
Mayotte;
Mexico;67.5444
Micronesia, Fed. Sts.;21.2404
Moldova;31.0074
Monaco;
Mongolia;19.5598
Montenegro;16.1584
Montserrat;
Morocco;12.5412
Mozambique;134.3428
Myanmar;13.6976
Namibia;62.4296
Nauru;
Nepal;93.0802
Netherlands;4.5848
Netherlands Antilles;
New Caledonia;20.1178
New Zealand;28.84
Ngorno-Karabakh;
Nicaragua;107.9908
Niger;199.0038
Nigeria;114.1328
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;8.4
Oman;9.2798
Pakistan;29.5212
Palau;
Panama;78.567
Papua New Guinea;63.9392
Paraguay;68.946
Peru;51.1236
Philippines;49.532
Pitcairn;
Poland;13.2338
Portugal;14.2234
Puerto Rico;51.8914
Qatar;15.7512
Reunion;
Romania;36.31
Russia;25.9424
Rwanda;36.7636
Saint Barthélemy;
Saint Helena;
Saint Kitts and Nevis;
Saint Lucia;58.183
Saint Martin;
Saint Vincent and the Grenadines;56.0594
Saint-Pierre-et-Miquelon;
Samoa;26.6306
San Marino;
Sao Tome and Principe;59.682
Saudi Arabia;17.8548
Senegal;96.1958
Serbia;20.3884
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;62.3
Sierra Leone;119.9986
Singapore;5.937
Slovak Republic;18.1082
Slovenia;4.6722
Solomon Islands;66.8866
Somalia;68.8468
Somaliland;
South Africa;53.9226
South Ossetia;
Spain;10.67
Sri Lanka;22.6822
Sudan;56.5292
Suriname;36.7484
Svalbard;
Swaziland;74.2996
Sweden;6.3124
Switzerland;4.1926
Syria;39.0258
Taiwan;4
Tajikistan;26.787
Tanzania;129.3792
Thailand;39.5078
Timor-Leste;57.6736
Togo;58.7284
Tokelau;
Tonga;19.7252
Transnistria;
Trinidad and Tobago;32.8624
Tunisia;4.883
Turkey;33.937
Turkmenistan;17.9346
Turks and Caicos Islands;
Tuvalu;
Uganda;135.8066
Ukraine;28.57
United Arab Emirates;24.7284
United Kingdom;29.7008
United States;32.8974
Uruguay;59.8632
USSR;
Uzbekistan;13.1814
Wallis et Futuna;
Vanuatu;51.9726
Venezuela;88.36
West Bank and Gaza;50.4032
West Germany;
Western Sahara;
Vietnam;24.347
Virgin Islands (U.S.);24.4868
Yemen Arab Republic (Former);
Yemen Democratic (Former);
Yemen, Rep.;71.1766
Yugoslavia;
Zambia;141.8102
Zimbabwe;57.858
Åland;
