countries;Suicide. age adjusted. per 100 000 standard population
Afghanistan;6.68438529968262
Albania;7.69932985305786
Algeria;4.8487696647644
Andorra;5.36217880249023
Angola;14.5546770095825
Antigua and Barbuda;2.16184329986572
Argentina;7.765584
Armenia;3.74158787727356
Australia;8.4700301251191
Austria;13.09437
Azerbaijan;1.38096463680267
Bahamas;3.3744158744812
Bahrain;4.41499042510986
Bangladesh;14.5383567810059
Barbados;3.10860252380371
Belarus;26.8746902951384
Belgium;15.95385
Belize;9.38879585266113
Benin;6.05773973464966
Bhutan;15.5426025390625
Bolivia;2.0341784954071
Bosnia and Herzegovina;11.8367156982422
Botswana;11.2139701843262
Brazil;4.777007
Brunei;1.37000155448914
Bulgaria;9.216544
Burkina Faso;8.20422172546387
Burundi;14.6809358596802
Cambodia;4.96107149124146
Cameroon;7.21422052383423
Canada;10.10099
Cape Verde;5.63333368301392
Central African Rep.;13.5484199523926
Chad;8.28307056427002
Chile;10.17187
China;16.9132480621338
Colombia;4.907702
Comoros;4.7510838508606
Congo, Dem. Rep.;14.713020324707
Congo, Rep.;9.87376117706299
Cook Is;4.37336492538452
Costa Rica;6.597168
Cote d'Ivoire;20.3179302215576
Croatia;14.77625
Cuba;10.57191
Cyprus;2.206169
Czech Rep.;12.36798
Czechoslovakia;
Denmark;8.973104
Djibouti;4.99347591400146
Dominica;5.83525085449219
Dominican Rep.;6.5195369720459
East Germany;
Ecuador;8.50468444824219
Egypt;1.79990363121033
El Salvador;7.304886
Equatorial Guinea;10.1293497085571
Eritrea;8.91336250305176
Estonia;16.95924
Ethiopia;10.0719423294067
Fiji;3.94025897979736
Finland;16.23437
France;14.09153
Gabon;7.7450647354126
Gambia;6.44915676116943
Georgia;1.57435011863708
Germany;9.211085
Ghana;6.28855466842651
Greece;2.816705
Grenada;3.57647824287415
Guatemala;2.234896
Guinea;7.44382619857788
Guinea-Bissau;7.56369209289551
Guyana;35.752872467041
Haiti;1.51924800872803
Honduras;7.06018447875976
Hungary;20.16201
Iceland;11.4261808395386
India;18.5838260650635
Indonesia;11.3961114883423
Iran;6.02188205718994
Iraq;17.0326461791992
Ireland;10.36507
Israel;5.931845
Italy;4.93004450889753
Jamaica;4.41750717163086
Japan;18.94693
Jordan;0.20144872367382
Kazakhstan;25.4046
Kenya;10.9377183914185
Kiribati;
Korea, Dem. Rep.;4.73567342758179
Korea, Rep.;22.40456
Kuwait;1.49805742428412
Kyrgyzstan;9.875281
Laos;26.2191982269287
Latvia;20.36959
Lebanon;5.8383150100708
Lesotho;7.85861921310425
Liberia;7.18485260009766
Libya;4.66702461242676
Lithuania;33.34186
Luxembourg;12.4059181213379
Macedonia, FYR;7.87687826156616
Madagascar;5.76740646362305
Malawi;10.1717348098755
Malaysia;8.21106719970703
Maldives;22.353479385376
Mali;8.2628927230835
Malta;4.5511212348938
Marshall Islands;7.20238351821899
Mauritania;6.88295221328735
Mauritius;8.08154
Mexico;4.288574
Micronesia, Fed. Sts.;4.76226997375488
Moldova;15.53849
Monaco;11.1510725021362
Mongolia;13.0896158218384
Morocco;2.10941362380981
Mozambique;10.5503749847412
Myanmar;10.1149969100952
Namibia;8.02196979522705
Nauru;4.07952547073364
Nepal;11.6552095413208
Netherlands;8.164005
New Zealand;12.17976
Nicaragua;12.1222686767578
Niger;9.2579755783081
Nigeria;7.63104963302612
Niue;4.21707630157471
Norway;10.823
Oman;3.71673941612244
Pakistan;12.8698148727417
Palau;5.55427646636963
Panama;6.1052818998346
Papua New Guinea;11.9569406509399
Paraguay;4.409532
Peru;1.65890777111053
Philippines;1.92248511314392
Poland;13.63706
Portugal;8.18837547302246
Qatar;2.5157208442688
Romania;10.05932
Russia;27.87416
Rwanda;13.1179485321045
Saint Kitts and Nevis;
Saint Lucia;8.21094799041748
Saint Vincent and the Grenadines;9.59302711486816
Samoa;5.54232358932495
San Marino;6.08767080307007
Sao Tome and Principe;10.4931497573853
Saudi Arabia;6.40153789520264
Senegal;6.81143856048584
Serbia;13.71634
Serbia and Montenegro;14.4696483612061
Seychelles;9.50792789459228
Sierra Leone;11.9804973602295
Singapore;9.127511
Slovak Republic;10.64574
Slovenia;19.42261
Solomon Islands;4.4847526550293
Somalia;29.864164352417
South Africa;15.7145709991455
Spain;5.888479
Sri Lanka;28.1040458679199
Sudan;9.70955562591553
Suriname;20.7474308013916
Swaziland;12.8722219467163
Sweden;11.11583
Switzerland;13.23981
Syria;0.52352756261826
Tajikistan;2.64898085594177
Tanzania;12.4111814498901
Thailand;9.84745979309082
Timor-Leste;9.6331148147583
Togo;6.3698878288269
Tonga;4.52785158157349
Trinidad and Tobago;14.5471668243408
Tunisia;3.1468141078949
Turkey;3.56332468986511
Turkmenistan;12.2167692184448
Tuvalu;7.93481159210205
Uganda;12.2891216278076
Ukraine;18.95457
United Arab Emirates;1.39295065402985
United Kingdom;6.014659
United States;9.927033
Uruguay;14.53727
USSR;
Uzbekistan;5.21372
Vanuatu;4.98342180252075
Venezuela;4.11962
West Germany;
Vietnam;11.6533222198486
Yemen, Rep.;6.26578903198242
Yugoslavia;
Zambia;12.0190362930298
Zimbabwe;13.9052667617798
