,countries,Gini,value,Continent
0,Lesotho,63.2,48464.0,Africa
1,Botswana,60.5,18042.0,Africa
2,Namibia,59.7,20909.0,Africa
3,Honduras,57.7,13599.0,Central America
4,Zambia,57.5,47134.0,Africa
5,Colombia,53.5,149499.0,South America
6,Paraguay,53.2,60172.0,South America
7,Guatemala,53.0,27139.0,Central America
8,Chile,52.1,47772.0,South America
9,Panama,51.9,6429.0,Central America
10,Swaziland,50.4,18941.0,Africa
11,Gambia,50.2,32777.0,Africa
12,Thailand,48.4,306770.0,Asia
13,Mexico,48.3,10518.0,North America
14,Bolivia,46.6,38926.0,South America
15,Philippines,46.0,661551.0,Asia
16,Mozambique,45.6,268427.0,Africa
17,Jamaica,45.5,31667.0,North America
18,Uruguay,45.3,1270.0,South America
19,Peru,45.3,43495.0,South America
20,Guyana,44.6,9483.0,South America
21,Nigeria,43.7,5404048.0,Africa
22,Israel,42.8,10032.0,Asia
23,Kenya,42.5,486219.0,Africa
24,Ghana,42.3,378935.0,Africa
25,Russia,42.0,92839.0,Europe
26,Cote d'Ivoire,41.5,663809.0,
27,Djibouti,40.9,29174.0,Africa
28,Morocco,40.9,187715.0,Africa
29,Senegal,40.3,195305.0,Africa
30,Turkey,40.2,103305.0,Asia
31,Mali,40.1,485145.0,Africa
32,Uganda,39.5,157523.0,Africa
33,Guinea,39.4,219829.0,Africa
34,Venezuela,39.0,90980.0,South America
35,Mauritania,39.0,62294.0,Africa
36,Serbia,38.7,6110.0,Europe
37,Bhutan,38.7,4794.0,Asia
38,Maldives,37.4,757.0,Asia
39,Uzbekistan,36.8,101521.0,Asia
40,Mongolia,36.5,3538.0,Asia
41,Spain,35.9,1251.0,Europe
42,Mauritius,35.9,3498.0,Africa
43,Estonia,35.6,1427.0,Europe
44,Lithuania,35.5,2033.0,Europe
45,Bulgaria,35.4,334.0,Europe
46,Algeria,35.3,47078.0,Africa
47,Latvia,35.2,2744.0,Europe
48,Cyprus,34.8,298.0,Asia
49,Portugal,34.2,1569.0,Europe
50,Niger,34.0,641202.0,Africa
51,Azerbaijan,33.7,36907.0,Asia
52,Ethiopia,33.0,1267208.0,Africa
53,Tajikistan,32.6,14377.0,Asia
54,Poland,32.4,46929.0,Europe
55,Croatia,32.0,5939.0,Europe
56,Italy,31.9,10944.0,Europe
57,Timor-Leste,31.9,20333.0,Asia
58,Egypt,30.8,177918.0,Africa
59,Hungary,30.6,3479.0,Europe
60,Australia,30.3,23100.0,Australia
61,Pakistan,29.6,3500674.0,Asia
62,Albania,29.0,24446.0,Europe
63,Kazakhstan,28.9,1639.0,Asia
64,Switzerland,28.7,2049.0,Europe
65,Moldova,28.5,7930.0,Europe
66,Iceland,28.0,63.0,Europe
67,Malta,27.7,1353.0,Europe
68,Romania,27.3,32481.0,Europe
69,Norway,26.8,1788.0,Europe
70,Finland,26.8,3929.0,Europe
71,Belgium,25.9,2841.0,Europe
72,Sweden,24.9,2829.0,Europe
73,Denmark,24.8,5761.0,Europe
74,Ukraine,24.6,75467.0,Europe
75,Slovenia,23.7,1562.0,Europe
