,countries,Gini,value,Continent
0,Lesotho,63.2,56782.0,Africa
1,Botswana,60.5,20150.0,Africa
2,Namibia,59.7,30758.0,Africa
3,Honduras,57.7,25214.0,Central America
4,Zambia,57.5,80137.0,Africa
5,Colombia,53.5,151998.0,South America
6,Paraguay,53.2,62464.0,South America
7,Guatemala,53.0,4558.0,Central America
8,Chile,52.1,46439.0,South America
9,Panama,51.9,5260.0,Central America
10,Swaziland,50.4,18834.0,Africa
11,Gambia,50.2,38208.0,Africa
12,Thailand,48.4,304452.0,Asia
13,Mexico,48.3,39275.0,North America
14,Bolivia,46.6,42041.0,South America
15,Philippines,46.0,798880.0,Asia
16,Mozambique,45.6,153614.0,Africa
17,Jamaica,45.5,28445.0,North America
18,Uruguay,45.3,352.0,South America
19,Peru,45.3,53966.0,South America
20,Guyana,44.6,12250.0,South America
21,Nigeria,43.7,4884551.0,Africa
22,Israel,42.8,13123.0,Asia
23,Kenya,42.5,523373.0,Africa
24,Ghana,42.3,412114.0,Africa
25,Russia,42.0,127868.0,Europe
26,Cote d'Ivoire,41.5,496923.0,
27,Djibouti,40.9,27269.0,Africa
28,Morocco,40.9,156957.0,Africa
29,Senegal,40.3,228833.0,Africa
30,Turkey,40.2,58575.0,Asia
31,Mali,40.1,375586.0,Africa
32,Uganda,39.5,232584.0,Africa
33,Guinea,39.4,145456.0,Africa
34,Venezuela,39.0,102843.0,South America
35,Mauritania,39.0,72202.0,Africa
36,Serbia,38.7,5199.0,Europe
37,Bhutan,38.7,6248.0,Asia
38,Maldives,37.4,573.0,Asia
39,Uzbekistan,36.8,83627.0,Asia
40,Mongolia,36.5,3135.0,Asia
41,Spain,35.9,1614.0,Europe
42,Mauritius,35.9,4536.0,Africa
43,Estonia,35.6,1342.0,Europe
44,Lithuania,35.5,2382.0,Europe
45,Bulgaria,35.4,1487.0,Europe
46,Algeria,35.3,24097.0,Africa
47,Latvia,35.2,3491.0,Europe
48,Cyprus,34.8,155.0,Asia
49,Portugal,34.2,2633.0,Europe
50,Niger,34.0,520594.0,Africa
51,Azerbaijan,33.7,37768.0,Asia
52,Ethiopia,33.0,941396.0,Africa
53,Tajikistan,32.6,1891.0,Asia
54,Poland,32.4,46812.0,Europe
55,Croatia,32.0,6748.0,Europe
56,Italy,31.9,5490.0,Europe
57,Timor-Leste,31.9,19142.0,Asia
58,Egypt,30.8,15184.0,Africa
59,Hungary,30.6,4254.0,Europe
60,Australia,30.3,30589.0,Australia
61,Pakistan,29.6,2209029.0,Asia
62,Albania,29.0,27120.0,Europe
63,Kazakhstan,28.9,4852.0,Asia
64,Switzerland,28.7,3515.0,Europe
65,Moldova,28.5,7552.0,Europe
66,Iceland,28.0,104.0,Europe
67,Malta,27.7,1522.0,Europe
68,Romania,27.3,35033.0,Europe
69,Norway,26.8,2619.0,Europe
70,Finland,26.8,4520.0,Europe
71,Belgium,25.9,3878.0,Europe
72,Sweden,24.9,1103.0,Europe
73,Denmark,24.8,10761.0,Europe
74,Ukraine,24.6,82579.0,Europe
75,Slovenia,23.7,1532.0,Europe
