countries;Children out of school, primary
Abkhazia;
Afghanistan;
Akrotiri and Dhekelia;
Albania;52014
Algeria;81638
American Samoa;
Andorra;1092
Angola;492581
Anguilla;
Antigua and Barbuda;1349
Argentina;
Armenia;
Aruba;26
Australia;53764
Austria;
Azerbaijan;78445
Bahamas;658
Bahrain;
Bangladesh;
Barbados;
Belarus;28505
Belgium;6533
Belize;1191
Benin;
Bermuda;441
Bhutan;10027
Bolivia;123455
Bosnia and Herzegovina;25132
Botswana;
Brazil;
British Virgin Islands;
Brunei;1709
Bulgaria;1252
Burkina Faso;1128293
Burundi;
Cambodia;72886
Cameroon;189310
Canada;
Cape Verde;4235
Cayman Islands;
Central African Republic;198386
Chad;
Channel Islands;
Chile;84726
China;
Christmas Island;
Cocos Island;
Colombia;374168
Comoros;
Congo, Dem. Rep.;
Congo, Rep.;56232
Cook Is;
Costa Rica;
Cote d'Ivoire;
Croatia;7446
Cuba;1370
Cyprus;497
Czech Republic;
Czechoslovakia;
Denmark;16999
Djibouti;
Dominica;275
Dominican Republic;84674
East Germany;
Ecuador;
Egypt;644717
El Salvador;38366
Equatorial Guinea;42930
Eritrea;417646
Eritrea and Ethiopia;
Estonia;1972
Ethiopia;2389945
Faeroe Islands;
Falkland Is (Malvinas);
Fiji;
Finland;7860
France;30743
French Guiana;
French Polynesia;
Gabon;
Gambia;85097
Georgia;
Germany;7184
Ghana;
Gibraltar;
Greece;6088
Greenland;
Grenada;462
Guadeloupe;
Guam;
Guatemala;45144
Guernsey;
Guinea;354858
Guinea-Bissau;56640
Guyana;18637
Haiti;
Holy See;
Honduras;45759
Hong Kong, China;5277
Hungary;7350
Iceland;294
India;
Indonesia;105670
Iran;16597
Iraq;
Ireland;1434
Isle of Man;
Israel;20204
Italy;25059
Jamaica;59454
Japan;1979
Jersey;
Jordan;82699
Kazakhstan;2738
Kenya;
Kiribati;
North Korea;
South Korea;35309
"United Korea (former)";
Kosovo;
Kuwait;
Kyrgyz Republic;18490
Lao;23215
Latvia;4697
Lebanon;29847
Lesotho;98874
Liberia;
Libya;
Liechtenstein;16
Lithuania;5495
Luxembourg;1951
Macao, China;4710
Macedonia, FYR;2212
Madagascar;
Malawi;
Malaysia;
Maldives;1388
Mali;858255
Malta;1529
Marshall Islands;
Martinique;
Mauritania;133538
Mauritius;7797
Mayotte;
Mexico;58273
Micronesia, Fed. Sts.;
Moldova;14936
Monaco;
Mongolia;2122
Montenegro;
Montserrat;
Morocco;207749
Mozambique;366736
Myanmar;
Namibia;52851
Nauru;
Nepal;
Netherlands;266
Netherlands Antilles;
New Caledonia;
New Zealand;1833
Ngorno-Karabakh;
Nicaragua;48167
Niger;1085721
Nigeria;10542105
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;3657
Oman;5371
Pakistan;5125373
Palau;
Panama;5457
Papua New Guinea;
Paraguay;136015
Peru;65931
Philippines;
Pitcairn;
Poland;72718
Portugal;4208
Puerto Rico;45653
Qatar;3311
Reunion;
Romania;109035
Russia;
Rwanda;20208
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;937
St. Lucia;2124
St. Martin;
St. Vincent and the Grenadines;209
St.-Pierre-et-Miquelon;
Samoa;1411
San Marino;88
Sao Tome and Principe;354
Saudi Arabia;
Senegal;429159
Serbia;16133
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;
Sierra Leone;
Singapore;
Slovak Republic;
Slovenia;2746
Solomon Islands;10282
Somalia;
Somaliland;
South Africa;
South Ossetia;
Spain;6109
Sri Lanka;102107
Sudan;
Suriname;
Svalbard;
Swaziland;29972
Sweden;3597
Switzerland;3888
Syria;
Taiwan;
Tajikistan;15013
Tanzania;
Thailand;
Timor-Leste;27710
Togo;
Tokelau;
Tonga;
Transnistria;
Trinidad and Tobago;3276
Tunisia;
Turkey;68456
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;
Uganda;622822
Ukraine;137694
United Arab Emirates;
United Kingdom;12052
United States;1023231
Uruguay;505
USSR;
Uzbekistan;164282
Wallis et Futuna;
Vanuatu;
Venezuela;171320
West Bank and Gaza;48067
West Germany;
Western Sahara;
Vietnam;121297
Virgin Islands (U.S.);
North Yemen (former);
South Yemen (former);
Yemen;857302
Yugoslavia;
Zambia;184450
Zimbabwe;
Åland;
South Sudan;
Christian;
Coastline;
Curaçao;
Sint Maarten (Dutch part);
St. Martin (French part);
Antarctica;
Virgin Islands, British;
Hawaiian Trade Zone;
U.S. Pacific Islands;
Wake Island;
Bonaire;
Sark;
Chinese Taipei;
Saint Eustatius;
Saba;
