countries;Adult (15+) literacy rate (%). Male
Afghanistan;
Albania;98.0081625011027
Algeria;
Andorra;
Angola;82.60331
Anguilla;
Antigua and Barbuda;98.4
Argentina;97.82486
Armenia;99.70933
Aruba;
Australia;
Austria;
Azerbaijan;
Bahamas;
Bahrain;
Bangladesh;61.99212
Barbados;
Belarus;
Belgium;
Belize;
Benin;
Bermuda;
Bhutan;
Bolivia;
Bosnia and Herzegovina;99.45056
Botswana;84.62992
Brazil;
British Virgin Islands;
Brunei;96.97111
Bulgaria;98.7472336607287
Burkina Faso;
Burundi;
Cambodia;
Cameroon;
Canada;
Cape Verde;89.74974
Cayman Islands;
Central African Rep.;69.59757
Chad;45.64743
Chile;
China;
Colombia;93.4882505559722
Comoros;80.51743
Congo, Dem. Rep.;
Congo, Rep.;
Cook Islands;
Costa Rica;96.0423
Cote d'Ivoire;65.64127
Croatia;99.50811
Cuba;99.8417
Cyprus;99.286154401046
Czech Rep.;
Denmark;
Djibouti;
Dominica;
Dominican Rep.;89.9848332021186
Ecuador;93.05251704665
Egypt;80.9739354518869
El Salvador;
Equatorial Guinea;97.14473
Eritrea;79.48668
Estonia;99.76915
Ethiopia;
Fiji;
Finland;
France;
Gabon;92.33866
Gambia;60.8574
Georgia;99.78705
Germany;
Ghana;
Gibraltar;
Greece;98.36021
Grenada;
Guatemala;81.16541
Guinea;
Guinea-Bissau;68.92045
Guyana;
Haiti;
Holy See;
Honduras;85.3412279023329
Hong Kong, China;
Hungary;99.1704
Iceland;
India;
Indonesia;95.5910927221246
Iran;
Iraq;85.9649
Ireland;
Israel;
Italy;99.23258
Jamaica;82.06368
Japan;
Jordan;97.7483568075117
Kazakhstan;
Kenya;
Kiribati;
Korea, Dem. Rep.;
Korea, Rep.;
Kuwait;
Kyrgyzstan;
Laos;
Latvia;99.76842
Lebanon;
Lesotho;
Liberia;
Libya;95.79556
Liechtenstein;
Lithuania;99.6832
Luxembourg;
Macao, China;97.7512866795659
Macedonia, FYR;98.72351
Madagascar;
Malawi;
Malaysia;
Maldives;
Mali;43.0882863211123
Malta;
Marshall Islands;
Mauritania;65.28826
Mauritius;91.12416
Mexico;94.7827704568229
Micronesia, Fed. Sts.;
Moldova;99.52667
Monaco;
Mongolia;96.81157
Montenegro;99.3865
Montserrat;
Morocco;76.0735786507542
Mozambique;
Myanmar;95.09429
Namibia;
Nauru;
Nepal;71.105551654673
Netherlands;
Netherlands Antilles;96.55763
New Zealand;
Nicaragua;
Niger;
Nigeria;
Niue;
Norway;
Oman;
Pakistan;
Palau;
Panama;
Papua New Guinea;65.38218
Paraguay;
Peru;
Philippines;
Poland;99.88955
Portugal;97.0379
Puerto Rico;89.7129
Qatar;
Romania;98.30508
Russia;
Rwanda;
Saint Kitts and Nevis;
Saint Lucia;
Saint Vincent and the Grenadines;
Samoa;99.03356
San Marino;
Sao Tome and Principe;
Saudi Arabia;90.84806
Senegal;
Serbia;99.20211
Seychelles;91.40732304
Sierra Leone;54.65228
Singapore;
Slovak Republic;
Slovenia;99.71992
Solomon Islands;
Somalia;
South Africa;93.8594195006583
Spain;
Sri Lanka;
Sudan;80.71497
Suriname;
Swaziland;88.39267
Sweden;
Switzerland;
Syria;90.32096
Tajikistan;99.80615
Tanzania;
Thailand;
Timor-Leste;
Togo;74.0568179131298
Tokelau;
Tonga;
Trinidad and Tobago;99.21413
Tunisia;
Turkey;97.934993167554
Turkmenistan;99.7295
Turks and Caicos Islands;
Tuvalu;
Uganda;
Ukraine;99.7897
United Arab Emirates;
United Kingdom;
United States;
Uruguay;
Uzbekistan;99.64042
Vanuatu;84.85128
Venezuela;
West Bank and Gaza;97.8569957058151
Vietnam;95.42221
Yemen, Rep.;82.12338
Zambia;
Zimbabwe;87.7648069375466
Abkhazia;
Akrotiri and Dhekelia;
American Samoa;
Channel Islands;
Christmas Island;
Cocos Island;
Czechoslovakia;
East Germany;
Eritrea and Ethiopia;
Faeroe Islands;
Falkland Islands (Malvinas);
French Guiana;
French Polynesia;
Greenland;
Guadeloupe;
Guam;
Guernsey;
Isle of Man;
Jersey;
Korea, United;
Kosovo;
Martinique;
Mayotte;
New Caledonia;
Ngorno-Karabakh;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Pitcairn;
Reunion;
Saint Barthélemy;
Saint Helena;
Saint Martin;
Saint-Pierre-et-Miquelon;
Serbia and Montenegro;
Serbia excluding Kosovo;
Somaliland;
South Ossetia;
South Sudan;
Svalbard;
Taiwan;
Transnistria;
USSR;
Wallis et Futuna;
West Germany;
Western Sahara;
Virgin Islands (U.S.);
Yemen Arab Republic (Former);
Yemen Democratic (Former);
Yugoslavia;
Åland;
;
;
