countries;Adult (15+) literacy rate (%). Total
Afghanistan;39
Albania;96.8452991514299
Algeria;
Andorra;
Angola;70.36242
Anguilla;
Antigua and Barbuda;98.95
Argentina;97.85877
Armenia;99.56817
Aruba;
Australia;
Austria;
Azerbaijan;
Bahamas;
Bahrain;
Bangladesh;57.73479
Barbados;
Belarus;
Belgium;
Belize;
Benin;
Bermuda;
Bhutan;
Bolivia;
Bosnia and Herzegovina;98.00262
Botswana;85.09085
Brazil;
British Virgin Islands;
Brunei;95.447
Bulgaria;98.3524481093228
Burkina Faso;
Burundi;
Cambodia;
Cameroon;
Canada;
Cape Verde;84.93627
Cayman Islands;
Central African Rep.;56.613
Chad;35.39147
Chile;
China;
Colombia;93.5805336423026
Comoros;75.53978
Congo, Dem. Rep.;
Congo, Rep.;
Cook Islands;
Costa Rica;96.25802
Cote d'Ivoire;56.86751
Croatia;98.8807
Cuba;99.83425
Cyprus;98.6784255498616
Czech Rep.;
Denmark;
Djibouti;
Dominica;
Dominican Rep.;90.1062678813442
Ecuador;91.5868984864864
Egypt;72.9567194486944
El Salvador;
Equatorial Guinea;94.22589
Eritrea;68.93744
Estonia;99.79689
Ethiopia;
Fiji;
Finland;
France;
Gabon;88.98886
Gambia;51.10727
Georgia;99.73247
Germany;
Ghana;
Gibraltar;
Greece;97.3018
Grenada;
Guatemala;75.85726
Guinea;
Guinea-Bissau;55.27518
Guyana;
Haiti;
Holy See;
Honduras;85.1233107908221
Hong Kong, China;
Hungary;99.04719
Iceland;
India;62.7544745734379
Indonesia;92.8119075721191
Iran;
Iraq;78.48049
Ireland;
Israel;
Italy;98.97965
Jamaica;87.04274
Japan;
Jordan;95.9044529814974
Kazakhstan;
Kenya;
Kiribati;
Korea, Dem. Rep.;
Korea, Rep.;
Kuwait;
Kyrgyzstan;
Laos;
Latvia;99.78424
Lebanon;
Lesotho;
Liberia;
Libya;89.5361
Liechtenstein;
Lithuania;99.70355
Luxembourg;
Macao, China;95.6400408521411
Macedonia, FYR;97.3752
Madagascar;
Malawi;
Malaysia;
Maldives;
Mali;33.4412123107456
Malta;
Marshall Islands;
Mauritania;58.61391
Mauritius;88.84715
Mexico;93.5199847777717
Micronesia, Fed. Sts.;
Moldova;98.97083
Monaco;
Mongolia;97.35589
Montenegro;98.45932
Montserrat;
Morocco;67.0841620313362
Mozambique;
Myanmar;92.67915
Namibia;
Nauru;
Nepal;57.3691024409671
Netherlands;
Netherlands Antilles;96.54464
New Zealand;
Nicaragua;
Niger;
Nigeria;
Niue;
Norway;
Oman;
Pakistan;
Palau;
Panama;
Papua New Guinea;62.42167
Paraguay;
Peru;
Philippines;
Poland;99.73019
Portugal;95.43412
Puerto Rico;90.34799
Qatar;
Romania;97.70193
Russia;
Rwanda;
Saint Kitts and Nevis;
Saint Lucia;
Saint Vincent and the Grenadines;
Samoa;98.83078
San Marino;
Sao Tome and Principe;
Saudi Arabia;87.15616
Senegal;
Serbia;98.01291
Seychelles;91.83646335
Sierra Leone;43.2831
Singapore;
Slovak Republic;
Slovenia;99.69498
Solomon Islands;
Somalia;
South Africa;92.9831401688284
Spain;
Sri Lanka;
Sudan;71.93777
Suriname;
Swaziland;87.8443
Sweden;
Switzerland;
Syria;84.05794
Tajikistan;99.70706
Tanzania;
Thailand;
Timor-Leste;
Togo;60.4099446722917
Tokelau;
Tonga;
Trinidad and Tobago;98.83491
Tunisia;
Turkey;94.106091200538
Turkmenistan;99.60858
Turks and Caicos Islands;
Tuvalu;
Uganda;
Ukraine;99.71874
United Arab Emirates;
United Kingdom;
United States;
Uruguay;
Uzbekistan;99.43299
Vanuatu;83.22246
Venezuela;
West Bank and Gaza;95.26724224622
Vietnam;93.35947
Yemen, Rep.;65.26195
Zambia;
Zimbabwe;83.5827144548937
Abkhazia;
Akrotiri and Dhekelia;
American Samoa;
Channel Islands;
Christmas Island;
Cocos Island;
Czechoslovakia;
East Germany;
Eritrea and Ethiopia;
Faeroe Islands;
Falkland Islands (Malvinas);
French Guiana;
French Polynesia;
Greenland;
Guadeloupe;
Guam;
Guernsey;
Isle of Man;
Jersey;
Korea, United;
Kosovo;
Martinique;
Mayotte;
New Caledonia;
Ngorno-Karabakh;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Pitcairn;
Reunion;
Saint Barthélemy;
Saint Helena;
Saint Martin;
Saint-Pierre-et-Miquelon;
Serbia and Montenegro;
Serbia excluding Kosovo;
Somaliland;
South Ossetia;
South Sudan;
Svalbard;
Taiwan;
Transnistria;
USSR;
Wallis et Futuna;
West Germany;
Western Sahara;
Virgin Islands (U.S.);
Yemen Arab Republic (Former);
Yemen Democratic (Former);
Yugoslavia;
Åland;
;
;
