countries;Ratio of girls to boys in primary and secondary education (%)
Abkhazia;
Afghanistan;63.77
Akrotiri and Dhekelia;
Albania;98.192
Algeria;
American Samoa;
Andorra;102.856
Angola;78.872
Anguilla;
Antigua and Barbuda;95.636
Argentina;
Armenia;102.188
Aruba;98.595
Australia;97.071
Austria;97.099
Azerbaijan;98.215
Bahamas;103.584
Bahrain;
Bangladesh;
Barbados;105.671
Belarus;97.822
Belgium;98.142
Belize;
Benin;
Bermuda;108.421
Bhutan;101.639
Bolivia;
Bosnia and Herzegovina;102.313
Botswana;
Brazil;
British Virgin Islands;
Brunei;102.308
Bulgaria;96.819
Burkina Faso;87.696
Burundi;93.863
Cambodia;93.771
Cameroon;85.55
Canada;
Cape Verde;103.972
Cayman Islands;
Central African Republic;
Chad;65.767
Channel Islands;
Chile;100.001
China;103.437
Christmas Island;
Cocos Island;
Colombia;103.712
Comoros;
Congo, Dem. Rep.;78.533
Congo, Rep.;
Cook Is;
Costa Rica;101.831
Cote d'Ivoire;
Croatia;104.741
Cuba;98.348
Cyprus;99.878
Czech Republic;100.14
Czechoslovakia;
Denmark;100.603
Djibouti;
Dominica;103.084
Dominican Republic;97.279
East Germany;
Ecuador;100.555
Egypt;89.831
El Salvador;97.572
Equatorial Guinea;
Eritrea;80.05
Eritrea and Ethiopia;
Estonia;99.495
Ethiopia;88.755
Faeroe Islands;
Falkland Is (Malvinas);
Fiji;
Finland;102.293
France;99.974
French Guiana;
French Polynesia;
Gabon;
Gambia;99.349
Georgia;
Germany;96.052
Ghana;
Gibraltar;
Greece;97.665
Greenland;
Grenada;101.375
Guadeloupe;
Guam;
Guatemala;94.912
Guernsey;
Guinea;
Guinea-Bissau;
Guyana;106.827
Haiti;
Holy See;
Honduras;107.178
Hong Kong, China;101.722
Hungary;98.473
Iceland;101.012
India;
Indonesia;101.098
Iran;97.511
Iraq;
Ireland;102.115
Isle of Man;
Israel;101.368
Italy;98.642
Jamaica;98.914
Japan;100.08
Jersey;
Jordan;102.498
Kazakhstan;98.31
Kenya;
Kiribati;
North Korea;
South Korea;98.8
"United Korea (former)";
Kosovo;
Kuwait;
Kyrgyz Republic;98.862
Lao;89.557
Latvia;98.334
Lebanon;103.8
Lesotho;106.064
Liberia;
Libya;
Liechtenstein;98.598
Lithuania;98.356
Luxembourg;102.208
Macao, China;95.443
Macedonia, FYR;100.128
Madagascar;
Malawi;101.26
Malaysia;
Maldives;
Mali;81.893
Malta;93.633
Marshall Islands;
Martinique;
Mauritania;101.218
Mauritius;100.133
Mayotte;
Mexico;102.361
Micronesia, Fed. Sts.;
Moldova;101.461
Monaco;
Mongolia;102.565
Montenegro;100.207
Montserrat;
Morocco;
Mozambique;88.962
Myanmar;102.276
Namibia;
Nauru;
Nepal;
Netherlands;98.948
Netherlands Antilles;
New Caledonia;
New Zealand;102.832
Ngorno-Karabakh;
Nicaragua;101.61
Niger;78.582
Nigeria;90.09
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;99.156
Oman;99.541
Pakistan;79.614
Palau;
Panama;100.671
Papua New Guinea;
Paraguay;99.413
Peru;99.267
Philippines;
Pitcairn;
Poland;98.897
Portugal;99.696
Puerto Rico;104.435
Qatar;108.836
Reunion;
Romania;98.931
Russia;
Rwanda;101.909
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;99.797
St. Lucia;97.325
St. Martin;
St. Vincent and the Grenadines;97.063
St.-Pierre-et-Miquelon;
Samoa;107.5
San Marino;106.396
Sao Tome and Principe;100.296
Saudi Arabia;97.154
Senegal;99.948
Serbia;101.182
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;103.95
Sierra Leone;
Singapore;
Slovak Republic;100.475
Slovenia;98.978
Solomon Islands;95.942
Somalia;
Somaliland;
South Africa;
South Ossetia;
Spain;100.81
Sri Lanka;101.64
Sudan;
Suriname;
Svalbard;
Swaziland;94.028
Sweden;99.16
Switzerland;98.238
Syria;99.139
Taiwan;
Tajikistan;90.377
Tanzania;97.509
Thailand;
Timor-Leste;97.545
Togo;
Tokelau;
Tonga;
Transnistria;
Trinidad and Tobago;
Tunisia;
Turkey;95.042
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;
Uganda;98.503
Ukraine;98.622
United Arab Emirates;
United Kingdom;100.475
United States;100.079
Uruguay;104.15
USSR;
Uzbekistan;98.256
Wallis et Futuna;
Vanuatu;97.317
Venezuela;101.861
West Bank and Gaza;104.404
West Germany;
Western Sahara;
Vietnam;102.053
Virgin Islands (U.S.);
North Yemen (former);
South Yemen (former);
Yemen;75.068
Yugoslavia;
Zambia;
Zimbabwe;
Åland;
South Sudan;
Christian;
Coastline;
Curaçao;
Sint Maarten (Dutch part);
St. Martin (French part);
Antarctica;
Virgin Islands, British;
Hawaiian Trade Zone;
U.S. Pacific Islands;
Wake Island;
Bonaire;
Sark;
Chinese Taipei;
Saint Eustatius;
Saba;
