countries;Urban population (% of total)
Abkhazia;
Afghanistan;23.5472
Akrotiri and Dhekelia;
Albania;53.3846
Algeria;72.865
American Samoa;93.2038
Andorra;87.283
Angola;59.1426
Anguilla;
Antigua and Barbuda;29.8746
Argentina;92.4948
Armenia;64.1148
Aruba;46.8714
Australia;89.1916
Austria;67.6674
Azerbaijan;53.6448
Bahamas;84.2558
Bahrain;88.6872
Bangladesh;28.3902
Barbados;44.3996
Belarus;75.0216
Belgium;97.4854
Belize;44.7764
Benin;44.9086
Bermuda;100
Bhutan;35.5668
Bolivia;66.8114
Bosnia and Herzegovina;48.273
Botswana;61.6148
Brazil;84.6032
British Virgin Islands;
Brunei;75.9606
Bulgaria;73.0816
Burkina Faso;26.509
Burundi;10.928
Cambodia;20.003
Cameroon;52.085
Canada;80.6618
Cape Verde;62.5786
Cayman Islands;100
Central African Republic;39.1006
Chad;21.8294
Channel Islands;31.2196
Chile;89.1456
China;50.5008
Christmas Island;
Cocos Island;
Colombia;75.2928
Comoros;28.0686
Congo, Dem. Rep.;34.279
Congo, Rep.;63.6494
Cook Is;
Costa Rica;64.6438
Cote d'Ivoire;51.2798
Croatia;57.8242
Cuba;75.193
Cyprus;70.5086
Czech Republic;73.4424
Czechoslovakia;
Denmark;86.9308
Djibouti;77.08
Dominica;67.1788
Dominican Republic;69.6396
East Germany;
Ecuador;67.4232
Egypt;43.5386
El Salvador;64.7634
Equatorial Guinea;39.5122
Eritrea;21.363
Eritrea and Ethiopia;
Estonia;69.5178
Ethiopia;17.0184
Faeroe Islands;41.1392
Falkland Is (Malvinas);
Fiji;52.2322
Finland;83.6878
France;85.7434
French Guiana;
French Polynesia;51.4348
Gabon;86.1478
Gambia;57.2084
Georgia;52.8608
Germany;73.9444
Ghana;51.8684
Gibraltar;
Greece;61.4628
Greenland;84.6586
Grenada;39.153
Guadeloupe;
Guam;93.2066
Guatemala;49.7824
Guernsey;
Guinea;35.456
Guinea-Bissau;43.8974
Guyana;28.4
Haiti;53.3126
Holy See;
Honduras;52.151
Hong Kong, China;100
Hungary;69.4358
Iceland;93.7292
India;31.295
Indonesia;50.6858
Iran;69.0822
Iraq;66.5038
Ireland;62.205
Isle of Man;50.552
Israel;91.8836
Italy;68.4
Jamaica;52.074
Japan;91.1352
Jersey;
Jordan;82.7118
Kazakhstan;53.6368
Kenya;23.9842
Kiribati;43.9366
North Korea;60.342
South Korea;83.2008
"United Korea (former)";
Kosovo;
Kuwait;98.2548
Kyrgyz Republic;35.3896
Lao;34.2224
Latvia;67.714
Lebanon;87.2478
Lesotho;27.5738
Liberia;48.1822
Libya;77.735
Liechtenstein;14.4142
Lithuania;67.1152
Luxembourg;85.4134
Macao, China;100
Macedonia, FYR;59.3156
Madagascar;32.5684
Malawi;15.6956
Malaysia;72.684
Maldives;41.1136
Mali;34.9258
Malta;94.8232
Marshall Islands;71.839
Martinique;
Mauritania;41.51
Mauritius;41.7974
Mayotte;
Mexico;78.1058
Micronesia, Fed. Sts.;22.6132
Moldova;47.6556
Monaco;100
Mongolia;68.4582
Montenegro;63.2886
Montserrat;
Morocco;57.041
Mozambique;31.2156
Myanmar;32.6524
Namibia;38.3908
Nauru;
Nepal;16.9958
Netherlands;83.132
Netherlands Antilles;
New Caledonia;61.7552
New Zealand;86.24
Ngorno-Karabakh;
Nicaragua;57.5564
Niger;17.8684
Nigeria;49.6152
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;91.4574
Norway;79.374
Oman;73.4404
Pakistan;36.2156
Palau;84.1154
Panama;75.1972
Papua New Guinea;12.5022
Paraguay;61.9048
Peru;77.244
Philippines;48.8856
Pitcairn;
Poland;60.8948
Portugal;61.0416
Puerto Rico;98.8662
Qatar;98.7728
Reunion;
Romania;52.8208
Russia;73.8244
Rwanda;19.1192
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;32.0244
St. Lucia;17.6476
St. Martin;
