countries;Teen-fertility
Abkhazia;
Afghanistan;115
Akrotiri and Dhekelia;
Albania;11.2
Algeria;7
American Samoa;
Andorra;8.9
Angola;167
Anguilla;
Antigua and Barbuda;
Argentina;67.4
Armenia;27.2
Aruba;35.8
Australia;16.8
Austria;11.202
Azerbaijan;33
Bahamas;31
Bahrain;15
Bangladesh;77
Barbados;42
Belarus;20.794
Belgium;10
Belize;77
Benin;109
Bermuda;16
Bhutan;49
Bolivia;78
Bosnia and Herzegovina;16
Botswana;50
Brazil;76
British Virgin Islands;
Brunei;25
Bulgaria;42
Burkina Faso;123
Burundi;19
Cambodia;40
Cameroon;125
Canada;13.4138
Cape Verde;79
Cayman Islands;
Central African Rep.;105
Chad;159
Channel Islands;10
Chile;58
China;9
Christmas Island;
Cocos Island;
Colombia;73
Comoros;57
Congo. Dem. Rep.;195
Congo. Rep.;117
Cook Islands;
Costa Rica;65
Cote d'Ivoire;125
Croatia;13
Cuba;45
Cyprus;6
Czech Rep.;11
Czechoslovakia;
Denmark;6.2
Djibouti;22
Dominica;
Dominican Rep.;108
East Germany;
Ecuador;82
Egypt;45
El Salvador;81
Equatorial Guinea;121
Eritrea;64
Eritrea and Ethiopia;
Estonia;21
Ethiopia;68
Faeroe Islands;
Falkland Islands (Malvinas);
Fiji;45
Finland;8.7
France;7
French Guiana;
French Polynesia;51
Gabon;88
Gambia;75
Georgia;44
Germany;10
Ghana;69
Gibraltar;
Greece;12
Greenland;53.2
Grenada;41
Guadeloupe;
Guam;51
Guatemala;106
Guernsey;
Guinea;153
Guinea-Bissau;108
Guyana;65
Haiti;45
Holy See;
Honduras;92
Hong Kong. China;3
Hungary;20
Iceland;15
India;84
Indonesia;45
Iran;29
Iraq;96
Ireland;18
Isle of Man;
Israel;14
Italy;7
Jamaica;76
Japan;5
Jersey;
Jordan;26
Kazakhstan;29
Kenya;100
Kiribati;
Korea. Dem. Rep.;1
Korea. Rep.;3
Korea. United;
Kosovo;
Kuwait;14
Kyrgyzstan;34
Laos;37
Latvia;17
Lebanon;16
Lesotho;71
Liberia;139
Libya;3
Liechtenstein;
Lithuania;19
Luxembourg;9
Macao. China;3
Macedonia. FYR;21
Madagascar;132
Malawi;116
Malaysia;13
Maldives;12
Mali;183
Malta;19
Marshall Islands;
Martinique;
Mauritania;78
Mauritius;35
Mayotte;
Mexico;70
Micronesia. Fed. Sts.;24
Moldova;33
Monaco;
Mongolia;20
Montenegro;17
Montserrat;
Morocco;14
Mozambique;144
Myanmar;15
Namibia;70
Nauru;
Nepal;100
Netherlands;5
Netherlands Antilles;
New Caledonia;20
New Zealand;33
Ngorno-Karabakh;
Nicaragua;111
Niger;204
Nigeria;117
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;9.30
Oman;9
Pakistan;31
Palau;
Panama;81
Papua New Guinea;66
Paraguay;71
Peru;54
Philippines;53
Pitcairn;
Poland;14
Portugal;16
Puerto Rico;53
Qatar;16
Reunion;
Romania;39
Russia;29
Rwanda;38
Saint Barth�lemy;
Saint Helena;
Saint Kitts and Nevis;
Saint Lucia;60
Saint Martin;
Saint Vincent and the Grenadines;58
Saint-Pierre-et-Miquelon;
Samoa;28
San Marino;
Sao Tome and Principe;64
Saudi Arabia;14
Senegal;103
Serbia;22
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;63.5
Sierra Leone;136
Singapore;5
Slovak Republic;20
Slovenia;5
Solomon Islands;69
Somalia;70
Somaliland;
South Africa;57
South Ossetia;
Spain;13
Sri Lanka;23
Sudan;60
Suriname;39
Svalbard;
Swaziland;81
Sweden;6
Switzerland;4
Syria;42
Taiwan;5
Tajikistan;28
Tanzania;130
Thailand;42
Timor-Leste;63
Togo;63
Tokelau;
Tonga;21
Transnistria;
Trinidad and Tobago;34
Tunisia;5
Turkey;37
Turkmenistan;19
Turks and Caicos Islands;
Tuvalu;
Uganda;145
Ukraine;32
United Arab Emirates;26
United Kingdom;30
United States;38
Uruguay;61
USSR;
Uzbekistan;14
Wallis et Futuna;12.5
Vanuatu;53
Venezuela;89
West Bank and Gaza;52
West Germany;
Western Sahara;
Vietnam;26
Virgin Islands (U.S.);28
Yemen Arab Republic (Former);
Yemen Democratic (Former);
Yemen. Rep.;76
Yugoslavia;
Zambia;145
Zimbabwe;62
�land;
