,countries,Gini,value,Continent
0,Lesotho,63.2,4.0,Africa
1,Haiti,60.8,-2.0,North America
2,Botswana,60.5,8.0,Africa
3,Namibia,59.7,6.0,Africa
4,Honduras,57.7,7.0,Central America
5,Zambia,57.5,1.0,Africa
6,Colombia,53.5,7.0,South America
7,Paraguay,53.2,7.0,South America
8,Guatemala,53.0,8.0,Central America
9,Chile,52.1,9.0,South America
10,Panama,51.9,9.0,Central America
11,Brazil,51.9,8.0,South America
12,Swaziland,50.4,-9.0,Africa
13,Gambia,50.2,-5.0,Africa
14,Zimbabwe,50.1,-3.0,Africa
15,Ecuador,48.5,6.0,South America
16,Thailand,48.4,9.0,Asia
17,Mexico,48.3,8.0,North America
18,Madagascar,47.5,7.0,Africa
19,China,46.9,-7.0,Asia
20,Rwanda,46.8,-4.0,Africa
21,Bolivia,46.6,9.0,South America
22,Singapore,46.4,-2.0,Asia
23,Malaysia,46.2,3.0,Asia
24,Philippines,46.0,8.0,Asia
25,Georgia,46.0,5.0,Asia
26,Argentina,45.8,8.0,South America
27,Mozambique,45.6,5.0,Africa
28,Jamaica,45.5,9.0,North America
29,Uruguay,45.3,10.0,South America
30,Peru,45.3,5.0,South America
31,Cameroon,44.6,-4.0,Africa
32,Guyana,44.6,6.0,South America
33,Iran,44.5,3.0,Asia
34,Nigeria,43.7,4.0,Africa
35,Chad,43.3,-2.0,Africa
36,Israel,42.8,10.0,Asia
37,Kenya,42.5,-2.0,Africa
38,Burundi,42.4,-1.0,Africa
39,Ghana,42.3,2.0,Africa
40,Russia,42.0,6.0,Europe
41,Cote d'Ivoire,41.5,4.0,
42,Djibouti,40.9,2.0,Africa
43,Morocco,40.9,-6.0,Africa
44,Turkmenistan,40.8,-9.0,Asia
45,Nicaragua,40.5,8.0,Central America
46,Senegal,40.3,8.0,Africa
47,Turkey,40.2,7.0,Asia
48,Mali,40.1,6.0,Africa
49,Tunisia,40.0,-3.0,Africa
50,Jordan,39.7,-2.0,Asia
51,Uganda,39.5,-4.0,Africa
52,Guinea,39.4,-1.0,Africa
53,Venezuela,39.0,7.0,South America
54,Malawi,39.0,6.0,Africa
55,Mauritania,39.0,-6.0,Africa
56,Serbia,38.7,7.0,Europe
57,Bhutan,38.7,-10.0,Asia
58,Cambodia,37.9,2.0,Asia
59,Japan,37.9,10.0,Asia
60,Tanzania,37.6,-1.0,Africa
61,Vietnam,37.6,-7.0,Asia
62,Indonesia,36.8,6.0,Asia
63,Uzbekistan,36.8,-9.0,Asia
64,Greece,36.7,10.0,Europe
65,Laos,36.7,-7.0,Asia
66,Mongolia,36.5,10.0,Asia
67,Benin,36.5,6.0,Africa
68,Spain,35.9,10.0,Europe
69,Mauritius,35.9,10.0,Africa
70,Estonia,35.6,9.0,Europe
71,Lithuania,35.5,10.0,Europe
72,Bulgaria,35.4,8.0,Europe
73,Algeria,35.3,-3.0,Africa
74,Latvia,35.2,8.0,Europe
75,Cyprus,34.8,10.0,Asia
76,Portugal,34.2,10.0,Europe
77,Niger,34.0,5.0,Africa
78,Azerbaijan,33.7,-7.0,Asia
79,India,33.6,9.0,Asia
80,Taiwan,33.6,9.0,Asia
81,Kyrgyzstan,33.4,-3.0,Asia
82,Ethiopia,33.0,1.0,Africa
83,Nepal,32.8,6.0,Asia
84,Tajikistan,32.6,-1.0,Asia
85,Poland,32.4,9.0,Europe
86,Canada,32.1,10.0,North America
87,Bangladesh,32.1,6.0,Asia
88,Croatia,32.0,8.0,Europe
89,Italy,31.9,10.0,Europe
90,Ireland,31.3,10.0,Europe
91,Egypt,30.8,-6.0,Africa
92,Hungary,30.6,10.0,Europe
93,Armenia,30.3,5.0,Asia
94,Australia,30.3,10.0,Australia
95,France,30.1,9.0,Europe
96,Pakistan,29.6,-6.0,Asia
97,Austria,29.2,10.0,Europe
98,Albania,29.0,5.0,Europe
99,Kazakhstan,28.9,-4.0,Asia
100,Switzerland,28.7,10.0,Europe
101,Moldova,28.5,7.0,Europe
102,Romania,27.3,8.0,Europe
103,Germany,27.0,10.0,Europe
104,Norway,26.8,10.0,Europe
105,Finland,26.8,10.0,Europe
106,Belarus,26.5,-7.0,Europe
107,Montenegro,26.2,7.0,Europe
108,Belgium,25.9,10.0,Europe
109,Netherlands,25.1,10.0,Europe
110,Sweden,24.9,10.0,Europe
111,Denmark,24.8,10.0,Europe
112,Ukraine,24.6,6.0,Europe
113,Slovenia,23.7,10.0,Europe
