,countries,Gini,value,Continent
0,Lesotho,63.2,7.858619213104251,Africa
1,Haiti,60.8,1.51924800872803,North America
2,Botswana,60.5,11.213970184326199,Africa
3,Namibia,59.7,8.021969795227049,Africa
4,Honduras,57.7,7.060184478759759,Central America
5,Zambia,57.5,12.019036293029801,Africa
6,Colombia,53.5,4.907702,South America
7,Paraguay,53.2,4.409532,South America
8,Guatemala,53.0,2.234896,Central America
9,Chile,52.1,10.17187,South America
10,Panama,51.9,6.1052818998345995,Central America
11,Brazil,51.9,4.777007,South America
12,Swaziland,50.4,12.872221946716301,Africa
13,Gambia,50.2,6.44915676116943,Africa
14,Zimbabwe,50.1,13.905266761779801,Africa
15,Ecuador,48.5,8.50468444824219,South America
16,Thailand,48.4,9.84745979309082,Asia
17,Mexico,48.3,4.288574,North America
18,Madagascar,47.5,5.7674064636230495,Africa
19,China,46.9,16.9132480621338,Asia
20,Rwanda,46.8,13.1179485321045,Africa
21,Bolivia,46.6,2.0341784954071,South America
22,Singapore,46.4,9.127511,Asia
23,Malaysia,46.2,8.21106719970703,Asia
24,Philippines,46.0,1.92248511314392,Asia
25,Georgia,46.0,1.5743501186370803,Asia
26,Argentina,45.8,7.765584,South America
27,Mozambique,45.6,10.550374984741199,Africa
28,Jamaica,45.5,4.41750717163086,North America
29,Uruguay,45.3,14.537270000000001,South America
30,Peru,45.3,1.65890777111053,South America
31,Cameroon,44.6,7.214220523834231,Africa
32,Guyana,44.6,35.752872467041,South America
33,Iran,44.5,6.0218820571899405,Asia
34,Nigeria,43.7,7.63104963302612,Africa
35,Chad,43.3,8.28307056427002,Africa
36,Israel,42.8,5.931845,Asia
37,Kenya,42.5,10.9377183914185,Africa
38,Burundi,42.4,14.680935859680199,Africa
39,Ghana,42.3,6.28855466842651,Africa
40,Russia,42.0,27.874159999999996,Europe
41,Cote d'Ivoire,41.5,20.3179302215576,
42,Djibouti,40.9,4.99347591400146,Africa
43,Morocco,40.9,2.10941362380981,Africa
44,Turkmenistan,40.8,12.216769218444801,Asia
45,Nicaragua,40.5,12.1222686767578,Central America
46,Senegal,40.3,6.81143856048584,Africa
47,Turkey,40.2,3.56332468986511,Asia
48,Mali,40.1,8.2628927230835,Africa
49,Tunisia,40.0,3.1468141078948997,Africa
50,Jordan,39.7,0.20144872367382002,Asia
51,Uganda,39.5,12.289121627807601,Africa
52,Guinea,39.4,7.44382619857788,Africa
53,Venezuela,39.0,4.119619999999999,South America
54,Malawi,39.0,10.1717348098755,Africa
55,Mauritania,39.0,6.88295221328735,Africa
56,Serbia,38.7,13.716339999999999,Europe
57,Bhutan,38.7,15.5426025390625,Asia
58,Cambodia,37.9,4.9610714912414595,Asia
59,Japan,37.9,18.94693,Asia
60,Tanzania,37.6,12.4111814498901,Africa
61,Vietnam,37.6,11.653322219848599,Asia
62,Maldives,37.4,22.353479385376,Asia
63,Indonesia,36.8,11.396111488342301,Asia
64,Uzbekistan,36.8,5.2137199999999995,Asia
65,Greece,36.7,2.816705,Europe
66,Laos,36.7,26.2191982269287,Asia
67,Mongolia,36.5,13.0896158218384,Asia
68,Benin,36.5,6.057739734649661,Africa
69,Spain,35.9,5.888479,Europe
70,Mauritius,35.9,8.081539999999999,Africa
71,Estonia,35.6,16.959239999999998,Europe
72,Lithuania,35.5,33.34186,Europe
73,Bulgaria,35.4,9.216544,Europe
74,Algeria,35.3,4.8487696647644,Africa
75,Latvia,35.2,20.36959,Europe
76,Cyprus,34.8,2.206169,Asia
77,Portugal,34.2,8.18837547302246,Europe
78,Niger,34.0,9.2579755783081,Africa
79,Azerbaijan,33.7,1.38096463680267,Asia
80,India,33.6,18.5838260650635,Asia
81,Kyrgyzstan,33.4,9.875281,Asia
82,Ethiopia,33.0,10.0719423294067,Africa
83,Nepal,32.8,11.6552095413208,Asia
84,Tajikistan,32.6,2.6489808559417702,Asia
85,Poland,32.4,13.63706,Europe
86,Canada,32.1,10.10099,North America
87,Bangladesh,32.1,14.5383567810059,Asia
88,Croatia,32.0,14.77625,Europe
89,Italy,31.9,4.930044508897531,Europe
90,Timor-Leste,31.9,9.6331148147583,Asia
91,Ireland,31.3,10.36507,Europe
92,Egypt,30.8,1.79990363121033,Africa
93,Hungary,30.6,20.162010000000002,Europe
94,Luxembourg,30.4,12.4059181213379,Europe
95,Armenia,30.3,3.74158787727356,Asia
96,Australia,30.3,8.4700301251191,Australia
97,France,30.1,14.091529999999999,Europe
98,Pakistan,29.6,12.8698148727417,Asia
99,Austria,29.2,13.09437,Europe
100,Albania,29.0,7.69932985305786,Europe
101,Kazakhstan,28.9,25.4046,Asia
102,Switzerland,28.7,13.23981,Europe
103,Moldova,28.5,15.53849,Europe
104,Iceland,28.0,11.4261808395386,Europe
105,Malta,27.7,4.5511212348938,Europe
106,Romania,27.3,10.05932,Europe
107,Germany,27.0,9.211085,Europe
108,Norway,26.8,10.823,Europe
109,Finland,26.8,16.234370000000002,Europe
110,Belarus,26.5,26.874690295138397,Europe
111,Belgium,25.9,15.95385,Europe
112,Netherlands,25.1,8.164005,Europe
113,Sweden,24.9,11.11583,Europe
114,Denmark,24.8,8.973104,Europe
115,Ukraine,24.6,18.95457,Europe
116,Slovenia,23.7,19.42261,Europe
