countries;injuries
Australia;1571
Austria;6280.9
Belgium;6188.2
Canada;6139
Czech Republic;2738
Denmark;1198
Finland;1629
France;1666
Germany;5203
Greece;1858
Hungary;2907
Iceland;4360.3
Ireland;1998
Italy;5649
Japan;8598
Korea;7034
Luxembourg;2303
Mexico;1682.6
Netherlands;1748
New Zealand;10910.1
Norway;2387
Poland;1551
Portugal;4651
Slovak Republic;1986
Spain;3234
Sweden;2923
Switzerland;3550
Turkey;2317
United Kingdom;4345
United States;8617
Chile;2861.7
Estonia;2604.7
Israel;5032
Russia;2003
Slovenia;8401.9
Latvia;2434
Lithuania;2524
