,countries,Gini,value,Continent
0,Lesotho,63.2,98874.0,Africa
1,Namibia,59.7,52851.0,Africa
2,Honduras,57.7,45759.0,Central America
3,Zambia,57.5,184450.0,Africa
4,Colombia,53.5,374168.0,South America
5,Paraguay,53.2,136015.0,South America
6,Guatemala,53.0,45144.0,Central America
7,Chile,52.1,84726.0,South America
8,Panama,51.9,5457.0,Central America
9,Swaziland,50.4,29972.0,Africa
10,Gambia,50.2,85097.0,Africa
11,Mexico,48.3,58273.0,North America
12,Rwanda,46.8,20208.0,Africa
13,Bolivia,46.6,123455.0,South America
14,Mozambique,45.6,366736.0,Africa
15,Jamaica,45.5,59454.0,North America
16,Uruguay,45.3,505.0,South America
17,Peru,45.3,65931.0,South America
18,Cameroon,44.6,189310.0,Africa
19,Guyana,44.6,18637.0,South America
20,Iran,44.5,16597.0,Asia
21,Nigeria,43.7,10542105.0,Africa
22,Israel,42.8,20204.0,Asia
23,Morocco,40.9,207749.0,Africa
24,Nicaragua,40.5,48167.0,Central America
25,Senegal,40.3,429159.0,Africa
26,Turkey,40.2,68456.0,Asia
27,Mali,40.1,858255.0,Africa
28,Jordan,39.7,82699.0,Asia
29,Uganda,39.5,622822.0,Africa
30,Guinea,39.4,354858.0,Africa
31,Venezuela,39.0,171320.0,South America
32,Mauritania,39.0,133538.0,Africa
33,Serbia,38.7,16133.0,Europe
34,Bhutan,38.7,10027.0,Asia
35,Cambodia,37.9,72886.0,Asia
36,Japan,37.9,1979.0,Asia
37,Yemen,37.9,857302.0,Asia
38,Vietnam,37.6,121297.0,Asia
39,Maldives,37.4,1388.0,Asia
40,Indonesia,36.8,105670.0,Asia
41,Uzbekistan,36.8,164282.0,Asia
42,Greece,36.7,6088.0,Europe
43,Mongolia,36.5,2122.0,Asia
44,Spain,35.9,6109.0,Europe
45,Mauritius,35.9,7797.0,Africa
46,Estonia,35.6,1972.0,Europe
47,Lithuania,35.5,5495.0,Europe
48,Bulgaria,35.4,1252.0,Europe
49,Algeria,35.3,81638.0,Africa
50,Latvia,35.2,4697.0,Europe
51,Cyprus,34.8,497.0,Asia
52,Portugal,34.2,4208.0,Europe
53,Niger,34.0,1085721.0,Africa
54,Azerbaijan,33.7,78445.0,Asia
55,Ethiopia,33.0,2389945.0,Africa
56,Tajikistan,32.6,15013.0,Asia
57,Poland,32.4,72718.0,Europe
58,Croatia,32.0,7446.0,Europe
59,Italy,31.9,25059.0,Europe
60,Timor-Leste,31.9,27710.0,Asia
61,Ireland,31.3,1434.0,Europe
62,Egypt,30.8,644717.0,Africa
63,Hungary,30.6,7350.0,Europe
64,Luxembourg,30.4,1951.0,Europe
65,Australia,30.3,53764.0,Australia
66,France,30.1,30743.0,Europe
67,Pakistan,29.6,5125373.0,Asia
68,Albania,29.0,52014.0,Europe
69,Kazakhstan,28.9,2738.0,Asia
70,Switzerland,28.7,3888.0,Europe
71,Moldova,28.5,14936.0,Europe
72,Iceland,28.0,294.0,Europe
73,Malta,27.7,1529.0,Europe
74,Romania,27.3,109035.0,Europe
75,Germany,27.0,7184.0,Europe
76,Norway,26.8,3657.0,Europe
77,Finland,26.8,7860.0,Europe
78,Belarus,26.5,28505.0,Europe
79,Belgium,25.9,6533.0,Europe
80,Netherlands,25.1,266.0,Europe
81,Sweden,24.9,3597.0,Europe
82,Denmark,24.8,16999.0,Europe
83,Ukraine,24.6,137694.0,Europe
84,Slovenia,23.7,2746.0,Europe
