,countries,Gini,value,Continent
0,Botswana,60.5,85.56156,Africa
1,Honduras,57.7,84.93034972602159,Central America
2,Colombia,53.5,93.66713783274392,South America
3,Guatemala,53.0,71.08081999999999,Central America
4,Swaziland,50.4,87.32746,Africa
5,Gambia,50.2,41.88712,Africa
6,Zimbabwe,50.1,80.0656593368591,Africa
7,Ecuador,48.5,90.2208247612569,South America
8,Mexico,48.3,92.33828182820321,North America
9,Georgia,46.0,99.68613,Asia
10,Argentina,45.8,97.89041999999999,South America
11,Jamaica,45.5,91.76553,North America
12,Chad,43.3,25.39826,Africa
13,Cote d'Ivoire,41.5,47.58359,
14,Morocco,40.9,57.63999129299089,Africa
15,Turkmenistan,40.8,99.49422,Asia
16,Turkey,40.2,90.310104699489,Asia
17,Mali,40.1,24.567414334440198,Africa
18,Jordan,39.7,93.9334566634725,Asia
19,Mauritania,39.0,51.97767,Africa
20,Serbia,38.7,96.87049,Europe
21,Vietnam,37.6,91.38346,Asia
22,Indonesia,36.8,90.0686971973496,Asia
23,Uzbekistan,36.8,99.23196,Asia
24,Greece,36.7,96.27898,Europe
25,Mongolia,36.5,97.87714,Asia
26,Mauritius,35.9,86.66407,Africa
27,Estonia,35.6,99.81971,Europe
28,Lithuania,35.5,99.72063,Europe
29,Bulgaria,35.4,97.98389744722641,Europe
30,Latvia,35.2,99.79728,Europe
31,Cyprus,34.8,98.116229344559,Asia
32,Portugal,34.2,93.95711999999999,Europe
33,Nepal,32.8,46.706098090967906,Asia
34,Tajikistan,32.6,99.61533,Asia
35,Poland,32.4,99.58485999999999,Europe
36,Bangladesh,32.1,53.4105,Asia
37,Croatia,32.0,98.31105,Europe
38,Italy,31.9,98.74161,Europe
39,Egypt,30.8,64.6362345720184,Africa
40,Hungary,30.6,98.9387,Europe
41,Armenia,30.3,99.45376,Asia
42,Albania,29.0,95.69147995520001,Europe
43,Moldova,28.5,98.48289,Europe
44,Romania,27.3,97.14531,Europe
45,Montenegro,26.2,97.58914,Europe
46,Ukraine,24.6,99.6604,Europe
47,Slovenia,23.7,99.67143,Europe
