,countries,Gini,value,Continent
0,Botswana,60.5,84.62992,Africa
1,Honduras,57.7,85.3412279023329,Central America
2,Colombia,53.5,93.4882505559722,South America
3,Guatemala,53.0,81.16541,Central America
4,Swaziland,50.4,88.39267,Africa
5,Gambia,50.2,60.8574,Africa
6,Zimbabwe,50.1,87.7648069375466,Africa
7,Ecuador,48.5,93.05251704665001,South America
8,Mexico,48.3,94.78277045682292,North America
9,Georgia,46.0,99.78705,Asia
10,Argentina,45.8,97.82486,South America
11,Jamaica,45.5,82.06368,North America
12,Chad,43.3,45.64743,Africa
13,Cote d'Ivoire,41.5,65.64126999999999,
14,Morocco,40.9,76.0735786507542,Africa
15,Turkmenistan,40.8,99.7295,Asia
16,Turkey,40.2,97.934993167554,Asia
17,Mali,40.1,43.0882863211123,Africa
18,Jordan,39.7,97.74835680751171,Asia
19,Mauritania,39.0,65.28826,Africa
20,Serbia,38.7,99.20211,Europe
21,Vietnam,37.6,95.42220999999999,Asia
22,Indonesia,36.8,95.5910927221246,Asia
23,Uzbekistan,36.8,99.64041999999999,Asia
24,Greece,36.7,98.36021,Europe
25,Mongolia,36.5,96.81156999999999,Asia
26,Mauritius,35.9,91.12416,Africa
27,Estonia,35.6,99.76915,Europe
28,Lithuania,35.5,99.6832,Europe
29,Bulgaria,35.4,98.7472336607287,Europe
30,Latvia,35.2,99.76841999999999,Europe
31,Cyprus,34.8,99.286154401046,Asia
32,Portugal,34.2,97.0379,Europe
33,Nepal,32.8,71.10555165467301,Asia
34,Tajikistan,32.6,99.80615,Asia
35,Poland,32.4,99.88955,Europe
36,Bangladesh,32.1,61.99211999999999,Asia
37,Croatia,32.0,99.50811,Europe
38,Italy,31.9,99.23258,Europe
39,Egypt,30.8,80.9739354518869,Africa
40,Hungary,30.6,99.1704,Europe
41,Armenia,30.3,99.70933000000001,Asia
42,Albania,29.0,98.00816250110269,Europe
43,Moldova,28.5,99.52667,Europe
44,Romania,27.3,98.30508,Europe
45,Montenegro,26.2,99.3865,Europe
46,Ukraine,24.6,99.7897,Europe
47,Slovenia,23.7,99.71992,Europe
