,countries,Gini,value,Continent
0,Botswana,60.5,85.09085,Africa
1,Honduras,57.7,85.1233107908221,Central America
2,Colombia,53.5,93.58053364230258,South America
3,Guatemala,53.0,75.85726,Central America
4,Swaziland,50.4,87.8443,Africa
5,Gambia,50.2,51.10727,Africa
6,Zimbabwe,50.1,83.5827144548937,Africa
7,Ecuador,48.5,91.58689848648639,South America
8,Mexico,48.3,93.5199847777717,North America
9,Georgia,46.0,99.73246999999999,Asia
10,Argentina,45.8,97.85876999999999,South America
11,Jamaica,45.5,87.04274000000001,North America
12,Chad,43.3,35.39147,Africa
13,Cote d'Ivoire,41.5,56.867509999999996,
14,Morocco,40.9,67.0841620313362,Africa
15,Turkmenistan,40.8,99.60858,Asia
16,Turkey,40.2,94.106091200538,Asia
17,Mali,40.1,33.4412123107456,Africa
18,Jordan,39.7,95.9044529814974,Asia
19,Mauritania,39.0,58.61391,Africa
20,Serbia,38.7,98.01290999999999,Europe
21,Vietnam,37.6,93.35947,Asia
22,Indonesia,36.8,92.8119075721191,Asia
23,Uzbekistan,36.8,99.43299,Asia
24,Greece,36.7,97.3018,Europe
25,Mongolia,36.5,97.35589,Asia
26,Mauritius,35.9,88.84715,Africa
27,Estonia,35.6,99.79689,Europe
28,Lithuania,35.5,99.70355,Europe
29,Bulgaria,35.4,98.3524481093228,Europe
30,Latvia,35.2,99.78424,Europe
31,Cyprus,34.8,98.6784255498616,Asia
32,Portugal,34.2,95.43412,Europe
33,India,33.6,62.7544745734379,Asia
34,Nepal,32.8,57.369102440967104,Asia
35,Tajikistan,32.6,99.70706,Asia
36,Poland,32.4,99.73019000000001,Europe
37,Bangladesh,32.1,57.734790000000004,Asia
38,Croatia,32.0,98.8807,Europe
39,Italy,31.9,98.97965,Europe
40,Egypt,30.8,72.95671944869441,Africa
41,Hungary,30.6,99.04719,Europe
42,Armenia,30.3,99.56817,Asia
43,Albania,29.0,96.8452991514299,Europe
44,Moldova,28.5,98.97083,Europe
45,Romania,27.3,97.70193,Europe
46,Montenegro,26.2,98.45931999999999,Europe
47,Ukraine,24.6,99.71874,Europe
48,Slovenia,23.7,99.69498,Europe
