,countries,Gini,value,Continent
0,Lesotho,63.2,106.064,Africa
1,Honduras,57.7,107.178,Central America
2,Colombia,53.5,103.712,South America
3,Paraguay,53.2,99.413,South America
4,Guatemala,53.0,94.912,Central America
5,Chile,52.1,100.001,South America
6,Panama,51.9,100.671,Central America
7,Swaziland,50.4,94.02799999999999,Africa
8,Gambia,50.2,99.34899999999999,Africa
9,Ecuador,48.5,100.555,South America
10,Mexico,48.3,102.361,North America
11,China,46.9,103.43700000000001,Asia
12,Rwanda,46.8,101.90899999999999,Africa
13,Mozambique,45.6,88.962,Africa
14,Jamaica,45.5,98.914,North America
15,Uruguay,45.3,104.15,South America
16,Peru,45.3,99.26700000000001,South America
17,Cameroon,44.6,85.55,Africa
18,Guyana,44.6,106.82700000000001,South America
19,Iran,44.5,97.51100000000001,Asia
20,Nigeria,43.7,90.09,Africa
21,Chad,43.3,65.767,Africa
22,Israel,42.8,101.368,Asia
23,Burundi,42.4,93.863,Africa
24,Nicaragua,40.5,101.61,Central America
25,Senegal,40.3,99.948,Africa
26,Turkey,40.2,95.042,Asia
27,Mali,40.1,81.893,Africa
28,Jordan,39.7,102.49799999999999,Asia
29,Uganda,39.5,98.50299999999999,Africa
30,Venezuela,39.0,101.861,South America
31,Malawi,39.0,101.26,Africa
32,Mauritania,39.0,101.21799999999999,Africa
33,Serbia,38.7,101.182,Europe
34,Bhutan,38.7,101.639,Asia
35,Cambodia,37.9,93.771,Asia
36,Japan,37.9,100.08,Asia
37,Yemen,37.9,75.068,Asia
38,Tanzania,37.6,97.509,Africa
39,Vietnam,37.6,102.053,Asia
40,Indonesia,36.8,101.098,Asia
41,Uzbekistan,36.8,98.256,Asia
42,Greece,36.7,97.665,Europe
43,Mongolia,36.5,102.565,Asia
44,Spain,35.9,100.81,Europe
45,Mauritius,35.9,100.133,Africa
46,Estonia,35.6,99.495,Europe
47,Lithuania,35.5,98.35600000000001,Europe
48,Bulgaria,35.4,96.819,Europe
49,Latvia,35.2,98.334,Europe
50,Cyprus,34.8,99.87799999999999,Asia
51,Portugal,34.2,99.696,Europe
52,Niger,34.0,78.582,Africa
53,Azerbaijan,33.7,98.215,Asia
54,Ethiopia,33.0,88.755,Africa
55,Tajikistan,32.6,90.37700000000001,Asia
56,Poland,32.4,98.897,Europe
57,Croatia,32.0,104.741,Europe
58,Italy,31.9,98.64200000000001,Europe
59,Timor-Leste,31.9,97.545,Asia
60,Ireland,31.3,102.115,Europe
61,Egypt,30.8,89.831,Africa
62,Hungary,30.6,98.473,Europe
63,Luxembourg,30.4,102.208,Europe
64,Armenia,30.3,102.18799999999999,Asia
65,Australia,30.3,97.071,Australia
66,France,30.1,99.97399999999999,Europe
67,Pakistan,29.6,79.61399999999999,Asia
68,Austria,29.2,97.09899999999999,Europe
69,Albania,29.0,98.19200000000001,Europe
70,Kazakhstan,28.9,98.31,Asia
71,Switzerland,28.7,98.238,Europe
72,Moldova,28.5,101.461,Europe
73,Iceland,28.0,101.012,Europe
74,Malta,27.7,93.633,Europe
75,Romania,27.3,98.931,Europe
76,Germany,27.0,96.052,Europe
77,Norway,26.8,99.156,Europe
78,Finland,26.8,102.29299999999999,Europe
79,Belarus,26.5,97.822,Europe
80,Montenegro,26.2,100.20700000000001,Europe
81,Belgium,25.9,98.14200000000001,Europe
82,Netherlands,25.1,98.948,Europe
83,Sweden,24.9,99.16,Europe
84,Denmark,24.8,100.603,Europe
85,Ukraine,24.6,98.62200000000001,Europe
86,Slovenia,23.7,98.978,Europe
