,countries,Gini,Infant mortality rate,Continent
0,Lesotho,63.2,69.2,Africa
1,Haiti,60.8,52.2,North America
2,Botswana,60.5,34.8,Africa
3,Namibia,59.7,32.8,Africa
4,Honduras,57.7,17.4,Central America
5,Zambia,57.5,43.3,Africa
6,Colombia,53.5,13.6,South America
7,Paraguay,53.2,17.5,South America
8,Guatemala,53.0,24.3,Central America
9,Chile,52.1,7.0,South America
10,Panama,51.9,14.6,Central America
11,Brazil,51.9,14.6,South America
12,Swaziland,50.4,44.5,Africa
13,Gambia,50.2,47.9,Africa
14,Zimbabwe,50.1,46.6,Africa
15,Ecuador,48.5,18.4,South America
16,Thailand,48.4,10.5,Asia
17,Mexico,48.3,11.3,North America
18,Madagascar,47.5,35.9,Africa
19,China,46.9,9.2,Asia
20,Rwanda,46.8,31.1,Africa
21,Bolivia,46.6,30.6,South America
22,Singapore,46.4,2.1,Asia
23,Malaysia,46.2,6.0,Asia
24,Philippines,46.0,22.2,Asia
25,Georgia,46.0,10.6,Asia
26,Argentina,45.8,11.1,South America
27,Mozambique,45.6,56.7,Africa
28,Jamaica,45.5,13.5,North America
29,Uruguay,45.3,8.7,South America
30,Peru,45.3,13.1,South America
31,Cameroon,44.6,57.1,Africa
32,Guyana,44.6,32.0,South America
33,Iran,44.5,13.4,Asia
34,Nigeria,43.7,69.4,Africa
35,Chad,43.3,85.0,Africa
36,Israel,42.8,3.2,Asia
37,Kenya,42.5,35.5,Africa
38,Burundi,42.4,54.1,Africa
39,Ghana,42.3,42.8,Africa
40,Russia,42.0,8.2,Europe
41,Cote d'Ivoire,41.5,66.6,
42,Djibouti,40.9,54.2,Africa
43,Morocco,40.9,23.7,Africa
44,Turkmenistan,40.8,43.7,Asia
45,Nicaragua,40.5,18.8,Central America
46,Senegal,40.3,41.7,Africa
47,Turkey,40.2,11.6,Asia
48,Mali,40.1,74.5,Africa
49,Tunisia,40.0,12.1,Africa
50,Jordan,39.7,15.4,Asia
51,Uganda,39.5,37.7,Africa
52,Guinea,39.4,61.0,Africa
53,Venezuela,39.0,12.9,South America
54,Malawi,39.0,43.4,Africa
55,Mauritania,39.0,65.1,Africa
56,Serbia,38.7,5.9,Europe
57,Bhutan,38.7,27.2,Asia
58,Cambodia,37.9,24.6,Asia
59,Japan,37.9,2.0,Asia
60,Yemen,37.9,33.8,Asia
61,Tanzania,37.6,35.2,Africa
62,Vietnam,37.6,17.3,Asia
63,Maldives,37.4,7.4,Asia
64,Indonesia,36.8,22.8,Asia
65,Uzbekistan,36.8,33.9,Asia
66,Greece,36.7,3.6,Europe
67,Mongolia,36.5,19.0,Asia
68,Benin,36.5,64.2,Africa
69,Spain,35.9,3.5,Europe
70,Mauritius,35.9,11.8,Africa
71,Estonia,35.6,2.3,Europe
72,Lithuania,35.5,3.3,Europe
73,Bulgaria,35.4,9.3,Europe
74,Algeria,35.3,21.9,Africa
75,Latvia,35.2,6.9,Europe
76,Cyprus,34.8,2.5,Asia
77,Portugal,34.2,3.0,Europe
78,Niger,34.0,57.1,Africa
79,Azerbaijan,33.7,27.9,Asia
80,India,33.6,37.9,Asia
81,Ethiopia,33.0,41.4,Africa
82,Nepal,32.8,29.4,Asia
83,Tajikistan,32.6,38.5,Asia
84,Poland,32.4,4.5,Europe
85,Canada,32.1,4.3,North America
86,Bangladesh,32.1,30.7,Asia
87,Croatia,32.0,3.6,Europe
88,Italy,31.9,2.9,Europe
89,Timor-Leste,31.9,44.7,Asia
90,Ireland,31.3,3.0,Europe
91,Egypt,30.8,20.3,Africa
92,Hungary,30.6,5.3,Europe
93,Luxembourg,30.4,1.5,Europe
94,Armenia,30.3,12.6,Asia
95,Australia,30.3,3.0,Australia
96,France,30.1,3.5,Europe
97,Pakistan,29.6,65.8,Asia
98,Austria,29.2,2.9,Europe
99,Albania,29.0,12.5,Europe
100,Kazakhstan,28.9,12.6,Asia
101,Switzerland,28.7,3.4,Europe
102,Moldova,28.5,13.6,Europe
103,Iceland,28.0,1.6,Europe
104,Malta,27.7,5.1,Europe
105,Romania,27.3,9.7,Europe
106,Germany,27.0,3.1,Europe
107,Norway,26.8,2.0,Europe
108,Finland,26.8,1.9,Europe
109,Belarus,26.5,3.4,Europe
110,Montenegro,26.2,4.3,Europe
111,Belgium,25.9,3.3,Europe
112,Netherlands,25.1,3.2,Europe
113,Sweden,24.9,2.4,Europe
114,Denmark,24.8,2.9,Europe
115,Ukraine,24.6,7.7,Europe
116,Slovenia,23.7,2.1,Europe
