,countries,Gini,value,Continent
0,Lesotho,63.2,27.5738,Africa
1,Haiti,60.8,53.3126,North America
2,Botswana,60.5,61.6148,Africa
3,Namibia,59.7,38.3908,Africa
4,Honduras,57.7,52.151,Central America
5,Zambia,57.5,39.1654,Africa
6,Colombia,53.5,75.2928,South America
7,Paraguay,53.2,61.9048,South America
8,Guatemala,53.0,49.7824,Central America
9,Chile,52.1,89.1456,South America
10,Panama,51.9,75.1972,Central America
11,Brazil,51.9,84.6032,South America
12,Swaziland,50.4,21.2808,Africa
13,Gambia,50.2,57.2084,Africa
14,Zimbabwe,50.1,38.6206,Africa
15,Ecuador,48.5,67.4232,South America
16,Thailand,48.4,34.1104,Asia
17,Mexico,48.3,78.1058,North America
18,Madagascar,47.5,32.5684,Africa
19,China,46.9,50.5008,Asia
20,Rwanda,46.8,19.1192,Africa
21,Bolivia,46.6,66.8114,South America
22,Singapore,46.4,100.0,Asia
23,Malaysia,46.2,72.684,Asia
24,Philippines,46.0,48.8856,Asia
25,Georgia,46.0,52.8608,Asia
26,Argentina,45.8,92.4948,South America
27,Mozambique,45.6,31.2156,Africa
28,Jamaica,45.5,52.074,North America
29,Uruguay,45.3,92.544,South America
30,Peru,45.3,77.244,South America
31,Cameroon,44.6,52.085,Africa
32,Guyana,44.6,28.4,South America
33,Iran,44.5,69.0822,Asia
34,Nigeria,43.7,49.6152,Africa
35,Chad,43.3,21.8294,Africa
36,Israel,42.8,91.8836,Asia
37,Kenya,42.5,23.9842,Africa
38,Burundi,42.4,10.927999999999999,Africa
39,Ghana,42.3,51.8684,Africa
40,Russia,42.0,73.8244,Europe
41,Cote d'Ivoire,41.5,51.2798,
42,Djibouti,40.9,77.08,Africa
43,Morocco,40.9,57.041000000000004,Africa
44,Turkmenistan,40.8,48.7416,Asia
45,Nicaragua,40.5,57.5564,Central America
46,Senegal,40.3,42.5598,Africa
47,Turkey,40.2,71.4094,Asia
48,Mali,40.1,34.9258,Africa
49,Tunisia,40.0,66.3142,Africa
50,Jordan,39.7,82.7118,Asia
51,Uganda,39.5,15.579,Africa
52,Guinea,39.4,35.455999999999996,Africa
53,Venezuela,39.0,93.5048,South America
54,Malawi,39.0,15.6956,Africa
55,Mauritania,39.0,41.51,Africa
56,Serbia,38.7,56.379,Europe
57,Bhutan,38.7,35.5668,Asia
58,Cambodia,37.9,20.003,Asia
59,Japan,37.9,91.1352,Asia
60,Yemen,37.9,32.3248,Asia
61,Tanzania,37.6,26.7424,Africa
62,Vietnam,37.6,31.0356,Asia
63,Maldives,37.4,41.1136,Asia
64,Indonesia,36.8,50.6858,Asia
65,Uzbekistan,36.8,36.248000000000005,Asia
66,Greece,36.7,61.4628,Europe
67,Mongolia,36.5,68.4582,Asia
68,Benin,36.5,44.9086,Africa
69,Spain,35.9,77.4286,Europe
70,Mauritius,35.9,41.7974,Africa
71,Estonia,35.6,69.5178,Europe
72,Lithuania,35.5,67.1152,Europe
73,Bulgaria,35.4,73.0816,Europe
74,Algeria,35.3,72.865,Africa
75,Latvia,35.2,67.714,Europe
76,Cyprus,34.8,70.5086,Asia
77,Portugal,34.2,61.0416,Europe
78,Niger,34.0,17.8684,Africa
79,Azerbaijan,33.7,53.6448,Asia
80,India,33.6,31.295,Asia
81,Ethiopia,33.0,17.0184,Africa
82,Nepal,32.8,16.9958,Asia
83,Tajikistan,32.6,26.554000000000002,Asia
84,Poland,32.4,60.8948,Europe
85,Canada,32.1,80.6618,North America
86,Bangladesh,32.1,28.3902,Asia
87,Croatia,32.0,57.8242,Europe
88,Italy,31.9,68.4,Europe
89,Timor-Leste,31.9,28.3446,Asia
90,Ireland,31.3,62.205,Europe
91,Egypt,30.8,43.5386,Africa
92,Hungary,30.6,69.4358,Europe
93,Luxembourg,30.4,85.4134,Europe
94,Armenia,30.3,64.1148,Asia
95,Australia,30.3,89.1916,Australia
96,France,30.1,85.7434,Europe
97,Pakistan,29.6,36.2156,Asia
98,Austria,29.2,67.6674,Europe
99,Albania,29.0,53.3846,Europe
100,Kazakhstan,28.9,53.6368,Asia
101,Switzerland,28.7,73.7098,Europe
102,Moldova,28.5,47.6556,Europe
103,Iceland,28.0,93.7292,Europe
104,Malta,27.7,94.8232,Europe
105,Romania,27.3,52.8208,Europe
106,Germany,27.0,73.9444,Europe
107,Norway,26.8,79.374,Europe
108,Finland,26.8,83.6878,Europe
109,Belarus,26.5,75.0216,Europe
110,Montenegro,26.2,63.2886,Europe
111,Belgium,25.9,97.4854,Europe
112,Netherlands,25.1,83.132,Europe
113,Sweden,24.9,85.2058,Europe
114,Denmark,24.8,86.9308,Europe
115,Ukraine,24.6,68.884,Europe
116,Slovenia,23.7,49.9294,Europe
